iteration;sys;T;x1_L1;x1_L2_inner;x1_L1_inner;x1_L2;c1;c2;Note
0.1;3;140;7.77E-06;;;0.892853482;ACETAMIDE;BENZENE;
0.1;4;100;6.99E-07;;;0.88805342;ACETONITRILE;ALPHA-PINENE;
0.1;5;140;1.44E-06;;;0.946016957;ACETONITRILE;N-BUTANE;
0.1;6;140;5.52E-07;;;0.964597975;ACETONITRILE;CYCLOHEXANE;
0.1;7;140;9.68E-07;;;0.951354021;ACETONITRILE;CYCLOPENTANE;
0.1;8;100;0.002522656;;;0.652452748;ACETONITRILE;CYCLOHEXENE;
0.1;9;140;7.54E-07;;;0.971357999;ACETONITRILE;METHYLCYCLOHEXANE;
0.1;10;140;1.07E-06;;;0.962667092;ACETONITRILE;METHYLCYCLOPENTANE;
0.1;11;120;0.533587742;;;0.861385914;ACETONITRILE;DI-N-BUTYL_ETHER;
0.1;12;140;1.03E-06;;;0.98685015;ACETONITRILE;N-DECANE;
0.1;13;140;1.02E-06;;;0.990492098;ACETONITRILE;N-DODECANE;
0.1;14;140;1.16E-06;;;0.969889359;ACETONITRILE;N-HEXANE;
0.1;15;140;1.07E-06;;;0.976357416;ACETONITRILE;N-HEPTANE;
0.1;16;140;4.42E-06;;;0.973243658;ACETONITRILE;2,2,4-TRIMETHYLPENTANE;
0.1;17;140;2.02E-06;;;0.966259405;ACETONITRILE;2-METHYLPENTANE;
0.1;18;140;2.08E-06;;;0.964969192;ACETONITRILE;3-METHYLPENTANE;
0.1;19;100;0.174385896;;;0.873254073;ACETONITRILE;1-NONANOL;
0.1;20;140;1.05E-06;;;0.980920157;ACETONITRILE;N-OCTANE;
0.1;21;140;1.27E-06;;;0.960533673;ACETONITRILE;N-PENTANE;
0.1;22;100;1.28E-07;;;0.773377453;ACETONITRILE;CARBON_DISULFIDE;
0.1;23;140;1.01E-06;;;0.992871693;ACETONITRILE;N-TETRADECANE;
0.1;24;100;0.000237631;;;0.762278611;ACETONITRILE;TETRACHLOROETHYLENE;
0.1;25;140;0.431548563;;;0.995729801;ACETONITRILE;WATER;
0.1;26;120;1.75E-06;;;0.902752603;ACETONITRILE;Tetrachlorosilane;
0.1;27;100;0.474795502;;;0.999514373;ACETONITRILE;GLYCEROL;
0.1;28;120;0.639441682;;;0.838955596;ACETONITRILE;OLEIC_ACID;
0.1;29;100;0.586892671;;;0.853839143;ACETONITRILE;Hexadecanoic_acid_methyl_ester;
0.1;30;100;0.000641408;;;0.861731478;ACETONITRILE;1-NONENE;
0.1;31;100;0.1967912;;;0.847155669;ACETONITRILE;1-OCTANOL;
0.1;32;100;0.145614273;;;0.891379324;ACETONITRILE;1-DECANOL;
0.1;33;100;0.000524553;;;0.880822726;ACETONITRILE;1-DECENE;
0.1;34;140;3.26E-06;;;0.961486593;ACETONITRILE;2,3-DIMETHYLBUTANE;
0.1;35;140;4.37E-06;;;0.959795431;ACETONITRILE;2,2-DIMETHYLBUTANE;
0.1;36;140;3.13E-07;;;0.978063785;ACETONITRILE;CYCLOOCTANE;
0.1;37;140;1.03E-06;;;0.991814173;ACETONITRILE;N-TRIDECANE;
0.1;38;160;1.00E-06;;;0.999180376;ACETONITRILE;Perfluorooxacyclononane;
0.1;39;140;1.03E-06;;;0.98435193;ACETONITRILE;N-NONANE;
0.1;40;160;8.52E-07;;;0.998462398;ACETONITRILE;Perfluorohexane;
0.1;42;100;0.126503077;;;0.905519408;ACETONITRILE;1-UNDECANOL;
0.1;43;140;1.03E-06;;;0.994411703;ACETONITRILE;N-HEXADECANE;
0.1;44;100;0.111370057;;;0.91618532;ACETONITRILE;1-DODECANOL;
0.1;45;100;0.000259698;;;0.832154509;ACETONITRILE;2,4,4-TRIMETHYL-1-PENTENE;
0.1;46;120;0.275194193;;;0.895991627;ACETONITRILE;Butyl_isobutyl_ether;
0.1;47;120;0.254036737;;;0.943913388;ACETONITRILE;METHYL_OLEATE;
0.1;48;140;1.02E-06;;;0.988896655;ACETONITRILE;N-UNDECANE;
0.1;49;140;1.03E-06;;;0.993701639;ACETONITRILE;N-PENTADECANE;
0.1;51;120;0.427329307;;;0.919145237;ACETONITRILE;DI-N-PENTYL_ETHER;
0.1;53;140;8.96E-07;;;0.889939584;ACETONITRILE;ETHANE;
0.1;54;140;1.60E-06;;;0.979043987;ACETONITRILE;2-METHYLHEPTANE;
0.1;55;100;5.17E-05;;;0.843024925;ACETONITRILE;2,4,4-TRIMETHYL-2-PENTENE;
0.1;56;140;0.511975783;;;0.901548093;ACETONITRILE;LINOLEIC_ACID;
0.1;57;120;0.502546599;;;0.867262556;ACETONITRILE;ETHYL_N-HEXYL_ETHER;
0.1;63;100;1.55E-06;;;0.508947239;ACETONE;N-BUTANE;
0.1;64;100;7.35E-07;;;0.526576865;ACETONE;CYCLOPENTANE;
0.1;65;100;9.18E-07;;;0.712500026;ACETONE;N-DECANE;
0.1;66;100;2.63E-06;;;0.603002811;ACETONE;2,4-DIMETHYLPENTANE;
0.1;67;100;8.60E-07;;;0.748072135;ACETONE;N-DODECANE;
0.1;68;100;1.11E-06;;;0.601866639;ACETONE;N-HEXANE;
0.1;69;100;1.00E-06;;;0.637179667;ACETONE;N-HEPTANE;
0.1;70;100;2.35E-06;;;0.580171448;ACETONE;2-METHYLPENTANE;
0.1;71;100;9.67E-07;;;0.665975297;ACETONE;N-OCTANE;
