iteration;sys;T;x1_L1;x1_L2_inner;x1_L1_inner;x1_L2;c1;c2;Note
0.1;3;140;5.68E-06;;;0.92718706;ACETAMIDE;BENZENE;
0.1;4;100;6.44E-07;;;0.890221048;ACETONITRILE;ALPHA-PINENE;
0.1;5;140;1.31E-06;;;0.948650897;ACETONITRILE;N-BUTANE;
0.1;6;140;4.93E-07;;;0.966346335;ACETONITRILE;CYCLOHEXANE;
0.1;7;140;9.11E-07;;;0.953763726;ACETONITRILE;CYCLOPENTANE;
0.1;8;100;0.002259214;;;0.670570418;ACETONITRILE;CYCLOHEXENE;
0.1;9;140;6.95E-07;;;0.97272743;ACETONITRILE;METHYLCYCLOHEXANE;
0.1;10;140;1.01E-06;;;0.964422517;ACETONITRILE;METHYLCYCLOPENTANE;
0.1;11;120;0.520852497;;;0.867214906;ACETONITRILE;DI-N-BUTYL_ETHER;
0.1;12;140;9.72E-07;;;0.987418809;ACETONITRILE;N-DECANE;
0.1;13;140;9.65E-07;;;0.990883502;ACETONITRILE;N-DODECANE;
0.1;14;140;1.04E-06;;;0.971290481;ACETONITRILE;N-HEXANE;
0.1;15;140;1.00E-06;;;0.977433449;ACETONITRILE;N-HEPTANE;
0.1;16;140;3.97E-06;;;0.974491878;ACETONITRILE;2,2,4-TRIMETHYLPENTANE;
0.1;17;140;1.81E-06;;;0.967837645;ACETONITRILE;2-METHYLPENTANE;
0.1;18;140;1.87E-06;;;0.966639717;ACETONITRILE;3-METHYLPENTANE;
0.1;19;100;0.172302656;;;0.873988868;ACETONITRILE;1-NONANOL;
0.1;20;140;9.87E-07;;;0.981775738;ACETONITRILE;N-OCTANE;
0.1;21;140;1.13E-06;;;0.96246494;ACETONITRILE;N-PENTANE;
0.1;23;140;9.54E-07;;;0.993166447;ACETONITRILE;N-TETRADECANE;
0.1;24;100;0.000228823;;;0.764128969;ACETONITRILE;TETRACHLOROETHYLENE;
0.1;25;140;0.578783866;;;0.991923185;ACETONITRILE;WATER;
0.1;27;100;0.410814595;;;0.999599397;ACETONITRILE;GLYCEROL;
0.1;28;120;0.633371943;;;0.840803099;ACETONITRILE;OLEIC_ACID;
0.1;29;100;0.580253639;;;0.855487966;ACETONITRILE;Hexadecanoic_acid_methyl_ester;
0.1;30;100;0.000576229;;;0.86569657;ACETONITRILE;1-NONENE;
0.1;31;100;0.194924409;;;0.848040507;ACETONITRILE;1-OCTANOL;
0.1;32;100;0.143550883;;;0.892117891;ACETONITRILE;1-DECANOL;
0.1;33;100;0.000471234;;;0.883395485;ACETONITRILE;1-DECENE;
0.1;34;140;2.97E-06;;;0.963339174;ACETONITRILE;2,3-DIMETHYLBUTANE;
0.1;35;140;3.94E-06;;;0.961762665;ACETONITRILE;2,2-DIMETHYLBUTANE;
0.1;36;140;2.34E-07;;;0.979134758;ACETONITRILE;CYCLOOCTANE;
0.1;37;140;9.67E-07;;;0.992153238;ACETONITRILE;N-TRIDECANE;
0.1;38;160;8.94E-07;;;0.999315247;ACETONITRILE;Perfluorooxacyclononane;
0.1;39;140;9.72E-07;;;0.985021238;ACETONITRILE;N-NONANE;
0.1;40;160;7.11E-07;;;0.998768162;ACETONITRILE;Perfluorohexane;
0.1;42;100;0.124350862;;;0.906049064;ACETONITRILE;1-UNDECANOL;
0.1;43;140;9.73E-07;;;0.994638651;ACETONITRILE;N-HEXADECANE;
0.1;44;100;0.109164866;;;0.916667545;ACETONITRILE;1-DODECANOL;
0.1;45;100;0.000234808;;;0.836956666;ACETONITRILE;2,4,4-TRIMETHYL-1-PENTENE;
0.1;46;120;0.265337222;;;0.899023247;ACETONITRILE;Butyl_isobutyl_ether;
0.1;47;120;0.244812518;;;0.944565701;ACETONITRILE;METHYL_OLEATE;
0.1;48;140;9.62E-07;;;0.989358474;ACETONITRILE;N-UNDECANE;
0.1;49;140;9.69E-07;;;0.993960062;ACETONITRILE;N-PENTADECANE;
0.1;51;120;0.418747704;;;0.921090383;ACETONITRILE;DI-N-PENTYL_ETHER;
0.1;53;140;8.43E-07;;;0.895620112;ACETONITRILE;ETHANE;
0.1;54;140;1.46E-06;;;0.979981478;ACETONITRILE;2-METHYLHEPTANE;
0.1;55;100;4.68E-05;;;0.847096611;ACETONITRILE;2,4,4-TRIMETHYL-2-PENTENE;
0.1;56;140;0.506549583;;;0.902521628;ACETONITRILE;LINOLEIC_ACID;
0.1;57;120;0.490193192;;;0.871453192;ACETONITRILE;ETHYL_N-HEXYL_ETHER;
0.1;63;100;1.32E-06;;;0.536261895;ACETONE;N-BUTANE;
0.1;64;100;6.37E-07;;;0.553209417;ACETONE;CYCLOPENTANE;
0.1;65;100;7.86E-07;;;0.731417915;ACETONE;N-DECANE;
0.1;66;100;2.16E-06;;;0.628297488;ACETONE;2,4-DIMETHYLPENTANE;
0.1;67;100;7.23E-07;;;0.763799891;ACETONE;N-DODECANE;
0.1;68;100;9.70E-07;;;0.627075496;ACETONE;N-HEXANE;
0.1;69;100;8.84E-07;;;0.660606752;ACETONE;N-HEPTANE;
0.1;70;100;1.95E-06;;;0.606207241;ACETONE;2-METHYLPENTANE;
0.1;71;100;8.44E-07;;;0.68774283;ACETONE;N-OCTANE;
0.1;72;100;1.04E-06;;;0.586756326;ACETONE;N-PENTANE;
0.1;74;100;6.61E-07;;;0.790113404;ACETONE;N-TETRADECANE;
0.1;76;100;1.69E-06;;;0.472667814;ACETONE;PROPANE;
0.1;77;100;3.91E-06;;;0.583251656;ACETONE;2,3-DIMETHYLBUTANE;
0.1;78;100;5.02E-06;;;0.577865336;ACETONE;2,2-DIMETHYLBUTANE;
0.1;79;120;5.02E-06;;;0.77086593;ACETONE;CYCLOHEPTANE;
0.1;80;120;9.17E-06;;;0.783307552;ACETONE;CYCLOOCTANE;
0.1;81;100;6.96E-07;;;0.777962561;ACETONE;N-TRIDECANE;
0.1;82;100;7.98E-07;;;0.711534004;ACETONE;N-NONANE;
0.1;83;120;1.78E-06;;;0.905363406;ACETONE;Perfluorohexane;
0.1;84;100;6.76E-07;;;0.839397557;ACETONE;N-EICOSANE;
0.1;85;100;6.48E-07;;;0.809865308;ACETONE;N-HEXADECANE;
0.1;86;100;6.09E-07;;;0.819908165;ACETONE;N-HEPTADECANE;
0.1;87;100;7.22E-06;;;0.630537021;ACETONE;2,3,4-TRIMETHYLPENTANE;
0.1;88;100;6.56E-07;;;0.418585404;ACETONE;ETHANE;
0.1;89;100;6.57E-07;;;0.825854468;ACETONE;N-OCTADECANE;
0.1;115;100;4.67E-06;;;0.257063372;ETHYLENEDIAMINE;BENZENE;
0.1;116;180;3.89E-06;;;0.950609097;ETHYLENEDIAMINE;N-DECANE;
0.1;117;180;3.97E-06;;;0.885042659;ETHYLENEDIAMINE;N-HEXANE;
0.1;131;100;6.87E-05;;;0.77393817;ETHYLENE_GLYCOL;ETHYL_FORMATE;
0.1;132;140;1.20E-06;;;0.959807928;ETHYLENE_GLYCOL;ANISOLE;
0.1;133;100;0.001411726;;;0.632015827;ETHYLENE_GLYCOL;ETHYL_ACETATE;
0.1;134;240;3.07E-06;;;0.98274977;ETHYLENE_GLYCOL;ETHYLBENZENE;
0.1;135;200;5.05E-07;;;0.89617799;ETHYLENE_GLYCOL;MONOCHLOROBENZENE;
0.1;136;100;3.19E-06;;;0.433567234;ETHYLENE_GLYCOL;NITROBENZENE;
0.1;137;200;4.65E-07;;;0.939655086;ETHYLENE_GLYCOL;BENZENE;
0.1;138;240;3.02E-06;;;0.971522295;ETHYLENE_GLYCOL;N-BUTYL_CHLORIDE;
0.1;139;280;9.34E-07;;;0.992562861;ETHYLENE_GLYCOL;CYCLOHEXANE;
0.1;140;280;9.81E-07;;;0.995521576;ETHYLENE_GLYCOL;METHYLCYCLOHEXANE;
0.1;141;280;1.25E-06;;;0.999568911;ETHYLENE_GLYCOL;N-DECANE;
0.1;142;200;1.04E-06;;;0.976014977;ETHYLENE_GLYCOL;N,N-DIMETHYLANILINE;
0.1;143;280;1.34E-06;;;0.999852309;ETHYLENE_GLYCOL;N-DODECANE;
0.1;144;100;0.000574749;;;0.807987796;ETHYLENE_GLYCOL;N-BUTYL_ACETATE;
0.1;145;100;0.001217336;;;0.656659419;ETHYLENE_GLYCOL;METHYL_ACETATE;
0.1;146;280;1.09E-06;;;0.9957768;ETHYLENE_GLYCOL;N-HEXANE;
0.1;147;280;1.12E-06;;;0.997660497;ETHYLENE_GLYCOL;N-HEPTANE;
