Name_mainclass	Number	Polarity_Number
(Iso)Nitriles	271	28
Acids	50	18
Acids	52	18
Acids	111	18
Acids	121	18
Acids	125	18
Acids	158	18
Acids	370	18
Acids	222	18
Acids	334	18
Alcohols	84	25
Alcohols	54	25
Alkanes	12	4
Alkenes	21	5
Alkynes	26	8
Allenes	29	6
Amides	223	26
Amines	162	20
Amines	186	20
Amine_Halogen_Salts	453	30
Anhydrides	102	19
AromaticAcidSalts	124	31
Aromatics	49	9
Aromatics	255	9
Aromatics	309	9
Aromatics	336	9
Aromatics	337	9
Aromatics	4	9
Carbamates	351	10
Carbonates	341	11
Carbonates	342	11
Carbonates	343	11
Carbonyls	85	21
Carbonyls	97	21
Carboxylates	118	32
Epoxies	312	12
Esters	138	13
Ethers	151	16
Formiates	126	33
Gases	316	1
Gases	315	1
Gases	317	1
Gases	319	1
Gases	320	1
Gases	322	1
Gases	323	1
Gases	324	1
Gases	325	1
Gases	327	1
Gases	328	1
Gases	330	1
Gases	331	1
Gases	332	1
Water	313	34
Halogens	51	15
Halogens	53	15
HalogenatedHydroc.	30	14
HalogenatedHydroc.	31	14
HalogenatedHydroc.	32	14
HalogenatedHydroc.	33	14
HalogenatedHydroc.	34	14
HalogenatedHydroc.	36	14
HalogenatedHydroc.	37	14
HalogenatedHydroc.	38	14
HalogenatedHydroc.	39	14
HalogenatedHydroc.	40	14
HalogenatedHydroc.	41	14
HalogenatedHydroc.	42	14
HalogenatedHydroc.	43	14
HalogenatedHydroc.	44	14
Imides	211	27
Ketenes	335	7
Multifunctionals	502	2
Multifunctionals	509	2
Multifunctionals	513	2
Multifunctionals	516	2
Multifunctionals	519	2
Multifunctionals	522	2
Multifunctionals	525	2
Multifunctionals	528	2
Multifunctionals	531	2
Multifunctionals	534	2
Multifunctionals	538	2
Multifunctionals	543	2
Multifunctionals	548	2
Multifunctionals	549	2
Multifunctionals	552	2
Multifunctionals	556	2
Multifunctionals	560	2
Multifunctionals	563	2
Multifunctionals	566	2
Multifunctionals	569	2
Multifunctionals	573	2
Multifunctionals	578	2
Multifunctionals	581	2
Multifunctionals	584	2
Multifunctionals	587	2
Multifunctionals	590	2
Multifunctionals	593	2
Multifunctionals	594	2
Multifunctionals	595	2
Multifunctionals	596	2
Multifunctionals	599	2
Multifunctionals	602	2
Multifunctionals	606	2
Multifunctionals	610	2
Multifunctionals	613	2
Multifunctionals	616	2
Multifunctionals	619	2
Multifunctionals	622	2
Multifunctionals	623	2
Multifunctionals	624	2
Multifunctionals	625	2
Multifunctionals	626	2
Multifunctionals	627	2
Multifunctionals	628	2
Multifunctionals	630	2
Multifunctionals	632	2
Multifunctionals	633	2
Multifunctionals	636	2
Multifunctionals	638	2
Multifunctionals	641	2
Multifunctionals	644	2
Multifunctionals	650	2
Multifunctionals	653	2
Multifunctionals	654	2
Multifunctionals	655	2
Multifunctionals	656	2
Multifunctionals	659	2
Multifunctionals	660	2
Multifunctionals	663	2
Multifunctionals	664	2
Multifunctionals	667	2
Multifunctionals	670	2
Multifunctionals	671	2
Multifunctionals	675	2
Multifunctionals	678	2
Multifunctionals	681	2
Multifunctionals	684	2
Multifunctionals	685	2
Multifunctionals	686	2
Multifunctionals	687	2
Multifunctionals	690	2
Multifunctionals	691	2
Multifunctionals	694	2
Multifunctionals	698	2
Multifunctionals	701	2
Multifunctionals	702	2
Multifunctionals	706	2
Multifunctionals	709	2
Multifunctionals	712	2
Multifunctionals	715	2
Multifunctionals	716	2
Multifunctionals	717	2
Multifunctionals	718	2
Multifunctionals	721	2
Multifunctionals	722	2
Multifunctionals	725	2
Multifunctionals	726	2
Multifunctionals	729	2
Multifunctionals	730	2
Multifunctionals	734	2
Multifunctionals	735	2
Multifunctionals	736	2
Multifunctionals	738	2
Multifunctionals	739	2
Multifunctionals	740	2
Multifunctionals	741	2
Multifunctionals	742	2
Multifunctionals	743	2
Multifunctionals	744	2
Multifunctionals	745	2
Multifunctionals	746	2
Multifunctionals	749	2
Multifunctionals	752	2
Multifunctionals	755	2
Multifunctionals	756	2
Multifunctionals	757	2
Multifunctionals	760	2
Multifunctionals	761	2
Multifunctionals	762	2
Multifunctionals	765	2
Multifunctionals	766	2
Multifunctionals	770	2
Multifunctionals	771	2
Multifunctionals	772	2
Multifunctionals	773	2
Multifunctionals	774	2
Multifunctionals	775	2
Multifunctionals	776	2
Multifunctionals	777	2
Multifunctionals	778	2
Multifunctionals	779	2
Multifunctionals	780	2
Multifunctionals	781	2
Multifunctionals	782	2
Multifunctionals	783	2
Multifunctionals	784	2
Multifunctionals	785	2
Multifunctionals	786	2
Multifunctionals	787	2
Multifunctionals	788	2
Multifunctionals	789	2
Multifunctionals	790	2
Multifunctionals	791	2
Multifunctionals	792	2
Multifunctionals	793	2
Multifunctionals	794	2
Multifunctionals	795	2
Multifunctionals	796	2
Multifunctionals	797	2
Multifunctionals	798	2
Multifunctionals	799	2
Multifunctionals	800	2
Multifunctionals	801	2
Multifunctionals	802	2
Multifunctionals	803	2
Multifunctionals	804	2
Multifunctionals	807	2
Multifunctionals	810	2
Multifunctionals	813	2
Multifunctionals	814	2
Multifunctionals	815	2
Multifunctionals	819	2
Multifunctionals	820	2
Multifunctionals	821	2
Multifunctionals	822	2
Multifunctionals	823	2
Multifunctionals	824	2
Multifunctionals	829	2
Multifunctionals	834	2
Multifunctionals	839	2
Multifunctionals	846	2
Multifunctionals	851	2
Multifunctionals	856	2
Multifunctionals	861	2
Multifunctionals	866	2
Multifunctionals	871	2
Multifunctionals	876	2
OtherNitrogens	235	3
OtherNitrogens	236	3
OtherNitrogens	245	3
OtherNitrogens	305	3
OtherNitrogens	275	3
PeroxyNoAcids	159	17
Sulfoxides&Sulfonyls	365	29
Thioethers	366	24
Thiols	364	23
Urea	350	22
