Name_Mainclass	Name_subclass_level1	Number
(Iso)Nitriles	Nitril	270
(Iso)Nitriles	Isocynanid	268
Acids	Halogenic_acid(F_or_Cl_or_Br_or_I_-_H)	50
Acids	Halogene_oxoacid(XOOOH)	52
Acids	Carboxylic_acid(COOH)	111
Acids	Aromatic_acid	121
Acids	Formic_acid	125
Acids	Peroxy_acid(COOOH)	158
Acids	Sulfonic_acid	370
Acids	Imidic_acid	222
Acids	Acylhalide(Acid_with_halogene)	334
Alcohols	Methanol	54
Alcohols	Alcohol_nointra_single	81
Alcohols	xAlcohol_intra	83
Alcohols	xAlcohol_nointra	80
Alkanes	Alkane_chain	2
Alkanes	n-Alkane	1
Alkanes	Alkane_cyclic	3
Alkanes	Alkane+Cyclic	5
Alkanes	Alkane+Aromatic	6
Alkanes	Alkane+Cyclic+Aromatic	8
Alkenes	Alkene_ring	18
Alkenes	Alkene_noconj	19
Alkenes	Alkene_conj	20
Alkenes	Alkene_chain	15
Alkynes	Alkyne_chain(noconj)	22
Alkynes	Alkyne_ring(noconj)	23
Alkynes	Alkyne_conj	24
Allenes	Allene_chain	27
Allenes	Allene_ring	28
Amides	Amide_chain_all	219
Amides	Amide_ring_single	198
Amides	Amide_ring_conj	199
Amides	Amide_aromat	220
Amides	Amide_on_aromat	221
Amines	Ammonia(NH3)	162
Amines	Amine_ring	180
Amines	Amine_chain	179
Amines	Amine_prim	182
Amines	Amine_sec	183
Amines	Amine_tert	184
Amines	Amine_arom	181
Amines	xAmine_chain&ring	177
Amine_Halogen_Salts	NH3(+)-(Halogene)	247
Amine_Halogen_Salts	NH2(+)-(Halogene)	248
Amine_Halogen_Salts	NH(+)-(Halogene)	249
Amine_Halogen_Salts	N(+)-(Halogene)	250
Amine_Halogen_Salts	N(+)-(Halogene)_in_arom	246
Anhydrides	Anhydride_chain	98
Anhydrides	Anhydride_arom	99
Anhydrides	Anhydride_conj	100
AromaticAcidSalts	Aromatic_acid_salt_single	122
AromaticAcidSalts	xAromatic_acid_salt	123
Aromatics	Halogene_on_aromatics	49
Aromatics	_-N-_in_arom	255
Aromatics	Phenol(Arene+OH)	309
Aromatics	O_in_arom_single	336
Aromatics	xO_in_arom	337
Aromatics	Aromatics(pureAlkaneBased)	4
Carbamates	Carbamate_chain_single	347
Carbamates	xCarbamate_chain	348
Carbamates	Carbamate_ring	349
Carbonates	Carbonate_halogene	342
Carbonates	Carbonate_chain	339
Carbonates	Carbonate_ring	340
Carbonates	Carbonate_onlyhalogene	343
Carbonyls	Carbonyl_nointra	94
Carbonyls	Carbonyl_intra	96
Carbonyls	Formaldehyde	85
Carboxylates	Carboxylate_nointra	114
Carboxylates	Carboxylate_intra	117
Epoxies	Epoxy_single	310
Epoxies	xEpoxy	311
Esters	Ester_nointra	137
Esters	Ester_intra	136
Ethers	Ether	147
Ethers	Acetal	150
Gases	Methane	316
Gases	Oxygene	315
Gases	Ozone	317
Gases	CO2	319
Gases	CO	320
Gases	Noblegas	322
Gases	H2S	323
Gases	SO2	324
Gases	SO3	325
Gases	N2O	327
Gases	NO2	328
Gases	SF6	330
Gases	COS	331
Gases	CINO	332
Halogens	(F_or_Cl_or_Br_or_I)	51
Halogens	Interhalogen	53
HalogenatedHydroc.	F+H+C(single_bonds)(lev1)	30
HalogenatedHydroc.	F+C(single_bonds)(lev1)	31
HalogenatedHydroc.	Cl+H+C(single_bonds)(lev1)	32
HalogenatedHydroc.	Cl+C(single_bonds)(lev1)	33
HalogenatedHydroc.	Br+H+C(single_bonds)(lev1)	34
HalogenatedHydroc.	I+C(single_bonds)(lev1)	36
HalogenatedHydroc.	F+Cl+H+C(single_bonds)(lev2)	37
HalogenatedHydroc.	F+Cl+C(single_bonds)(lev2)	38
HalogenatedHydroc.	F+Br+H+C(single_bonds)(lev2)	39
HalogenatedHydroc.	F+Br+C(single_bonds)(lev2)	40
HalogenatedHydroc.	Cl+Br+H+C(single_bonds)(lev2)	41
HalogenatedHydroc.	Cl+Br+C(single_bonds)(lev2)	42
HalogenatedHydroc.	F+Cl+Br+H+C(single_bonds)(lev3)	43
HalogenatedHydroc.	F+Cl+Br+C(single_bonds)(lev3)	44
Multifunctionals	triplebond+doublebond(lev2)	502
Multifunctionals	Halogene+doublebond(lev3)	509
Multifunctionals	Alcohol+doublebond(lev2)	513
Multifunctionals	Carbonyl+doublebond(lev2)	516
Multifunctionals	Ester+doublebond(lev2)	519
Multifunctionals	Carboxylic_acid+doublebond(lev2)	522
Multifunctionals	Carboxylic_acid_salt+doublebond(lev2)	525
Multifunctionals	Ether_all+doublebond(lev2)	528
Multifunctionals	Amine_all+doublebond(lev2)	531
Multifunctionals	Amide_all+doublebond(lev2)	534
Multifunctionals	Thioether+doublebond(lev2)	538
Multifunctionals	Cyanide_all+doublebond(lev3)	543
Multifunctionals	Nitro_all+doublebond(lev3)	548
Multifunctionals	Nitrate+doublebond(lev1)	549
Multifunctionals	Phenol_all+doublebond(lev2)	552
Multifunctionals	Heterocycle+doublebond(lev2)	556
Multifunctionals	Halogen_all+OH_all(lev2)	560
Multifunctionals	Carbonyl_all+Halogene_all(lev2)	563
Multifunctionals	Ether_all+Halogene_all(lev2)	566
Multifunctionals	Carboxylic_acid_aliph+	569
Multifunctionals	Ester_all+Halogene_all(lev2)	573
Multifunctionals	Phenol_all+Halogene_all(lev2)	578
Multifunctionals	Amine_all+Halogene_all(lev2)	581
Multifunctionals	Thiol_all+Halogene_all(lev2)	584
Multifunctionals	Thioether+Halogene_all(lev2)	587
Multifunctionals	O_a+Halogene_all(lev1)	590
Multifunctionals	N_a+Halogene_all(lev2)	593
Multifunctionals	S_a+Halogene_all(lev1)	594
Multifunctionals	NO3+Halogene_all(lev1)	595
Multifunctionals	Epoxide+Halogene_all(lev1)	596
Multifunctionals	CN_all+Halogene_all(lev1)	599
Multifunctionals	Nitro_all+Halogene_all(lev2)	602
Multifunctionals	Amide_all+Halogene_all(lev2)	606
Multifunctionals	Carbonyl_all+OH_aliph_all(lev2)	610
Multifunctionals	Carboxyl_acid_all+OH_aliph_all(lev2)	613
Multifunctionals	Ester_all+OH_aliph_all(lev2)	616
Multifunctionals	Ether_all+OH_aliph_all(lev2)	619
Multifunctionals	N_all+OH_aliph_all(lev1)	622
Multifunctionals	O_arom+OH_aliph_all(lev1)	623
Multifunctionals	N_arom+OH_aliph_all(lev1)	624
Multifunctionals	S_arom+OH_aliph_all(lev1)	625
Multifunctionals	Cyanid_aliph+OH_aliph_all(lev1)	626
Multifunctionals	Cyanid_all+OH_aliph_all(lev2)	627
Multifunctionals	Nitrat_all+OH_aliph_all(lev1)	628
Multifunctionals	Nitro_all+OH_aliph_all(lev2)	630
Multifunctionals	Thiol_all+OH_aliph_all(lev2)	632
Multifunctionals	Thioether_aliph+OH_aliph_all(lev1)	633
Multifunctionals	Phenol_all+Alcohol_aliph_all(lev2)	636
Multifunctionals	Epoxide+Alcohol_aliph_all(lev2)	638
Multifunctionals	Amide_all+Alcohol_aliph_all(lev2)	641
Multifunctionals	Amine_all+Ester_all(lev2)	644
Multifunctionals	Amine_all+Carboxylic_acid_all(lev2)	650
Multifunctionals	Amine_all+Ether_all(lev2)	653
Multifunctionals	Amine_all+Thioether_all(lev1)	654
Multifunctionals	Amine_all+Thiol_all(lev1)	655
Multifunctionals	Amine_all+O_arom(lev1)	656
Multifunctionals	Amine_all+N_arom(lev2)	659
Multifunctionals	Amine_all+S_arom(lev1)	660
Multifunctionals	Amine_all+Cyanid_all(lev2)	663
Multifunctionals	Amine_all+Nitrate_all(lev1)	664
Multifunctionals	Amine_all+Nitro_all(lev2)	667
Multifunctionals	Amine_all+Phenol_all(lev2)	670
Multifunctionals	Amine_all+Epoxide(lev1)	671
Multifunctionals	Amine_all+Amide_all(lev2)	675
Multifunctionals	Ether_all+Ester_all(lev1)	678
Multifunctionals	Ether_all+Carbonyl_all(lev2)	681
Multifunctionals	Ether_all+Carboxylic_acid_all(lev2)	684
Multifunctionals	Ether_all+Thioether_all(lev1)	685
Multifunctionals	Ether_all+Thiol_all(lev1)	686
Multifunctionals	Ether_all+O_arom(lev1)	687
Multifunctionals	Ether_all+N_arom(lev2)	690
Multifunctionals	Ether_all+S_arom(lev1)	691
Multifunctionals	Ether+Cyanid_all(lev2)	694
Multifunctionals	Ether_all+Nitro_all(lev2)	698
Multifunctionals	Ether_all+Phenol_all(lev2)	701
Multifunctionals	Ether_all+Epoxide(lev1)	702
Multifunctionals	Ether_all+Amide_all(lev2)	706
Multifunctionals	Nitro_all+Ester_all(lev1)	709
Multifunctionals	Nitro_all+Carbonyl_all(lev2)	712
Multifunctionals	Nitro_all+Carboxylic_acid_all(lev2)	715
Multifunctionals	Nitro_all+Thioether_all(lev1)	716
Multifunctionals	Nitro_all+Thiol_all(lev1)	717
Multifunctionals	Nitro_all+O_arom(lev1)	718
Multifunctionals	Nitro_all+N_arom(lev2)	721
Multifunctionals	Nitro_all+S_arom(lev1)	722
Multifunctionals	Nitro+Cyanid_all(lev2)	725
Multifunctionals	Nitro_all+Nitrate_all(lev1)	726
Multifunctionals	Nitro_all+Phenol_all(lev2)	729
Multifunctionals	Nitro_all+Epoxide(lev1)	730
Multifunctionals	Nitro_all+Amide_all(lev2)	734
Multifunctionals	Thiol_all+Ester_all(lev1)	735
Multifunctionals	Thiol_all+Carbonyl_all(lev2)	736
Multifunctionals	Thiol_all+Thioether_all(lev1)	738
Multifunctionals	Thiol_all+O_arom(lev1)	739
Multifunctionals	Thiol_all+N_arom(lev2)	740
Multifunctionals	Thiol_all+S_arom(lev1)	741
Multifunctionals	Thiol+Cyanid_all(lev2)	742
Multifunctionals	Thiol_all+Nitrate_all(lev1)	743
Multifunctionals	Thiol_all+Phenol_all(lev2)	744
Multifunctionals	Thiol_all+Epoxide(lev1)	745
Multifunctionals	Thiol_all+Amide_all(lev2)	746
Multifunctionals	Cyanide_all+Ester_all(lev2)	749
Multifunctionals	Cyanide_all+Carbonyl_all(lev2)	752
Multifunctionals	Cyanide_all+Carboxylic_acid_all(lev2)	755
Multifunctionals	Cyanide_all+Thioether_all(lev1)	756
Multifunctionals	Cyanide_all+O_arom(lev1)	757
Multifunctionals	Cyanide_all+N_arom(lev2)	760
Multifunctionals	Cyanide_all+S_arom(lev1)	761
Multifunctionals	Cyanide_all+Nitrate_all(lev1)	762
Multifunctionals	Cyanide_all+Phenol_all(lev2)	765
Multifunctionals	Cyanide_all+Epoxide(lev1)	766
Multifunctionals	Cyanide_all+Amide_all(lev2)	770
Multifunctionals	Nitrate_all+Ester_all(lev1)	771
Multifunctionals	Nitrate_all+Carbonyl_all(lev2)	772
Multifunctionals	Nitrate_all+Carboxylic_acid_all(lev2)	773
Multifunctionals	Nitrate_all+Thioether_all(lev1)	774
Multifunctionals	Nitrate_all+O_arom(lev1)	775
Multifunctionals	Nitrate_all+N_arom(lev2)	776
Multifunctionals	Nitrate_all+S_arom(lev1)	777
Multifunctionals	Nitrate_all+Phenol_all(lev2)	778
Multifunctionals	Nitrate_all+Epoxide(lev1)	779
Multifunctionals	Nitrate_all+Amide_all(lev2)	780
Multifunctionals	Epoxide_all+Ester_all(lev1)	781
Multifunctionals	Epoxide_all+Carbonyl_all(lev2)	782
Multifunctionals	Epoxide_all+Carboxylic_acid_all(lev2)	783
Multifunctionals	Epoxide_all+Thioether_all(lev1)	784
Multifunctionals	Epoxide_all+O_arom(lev1)	785
Multifunctionals	Epoxide_all+N_arom(lev2)	786
Multifunctionals	Epoxide_all+S_arom(lev1)	787
Multifunctionals	Epoxide_all+Phenol_all(lev2)	788
Multifunctionals	Epoxide_all+Amide_all(lev2)	789
Multifunctionals	Thioether_all+Ester_all(lev1)	790
Multifunctionals	Thioether_all+Carbonyl_all(lev2)	791
Multifunctionals	Thioether_all+Carboxylic_acid_all(lev2)	792
Multifunctionals	Thioether_all+O_arom(lev1)	793
Multifunctionals	Thioether_all+N_arom(lev2)	794
Multifunctionals	Thioether_all+S_arom(lev1)	795
Multifunctionals	Thioether_all+Phenol_all(lev2)	796
Multifunctionals	Thioether_all+Amide_all(lev2)	797
Multifunctionals	O_arom_all+Ester_all(lev1)	798
Multifunctionals	O_arom_all+Carbonyl_all(lev2)	799
Multifunctionals	O_arom_all+Carboxylic_acid_all(lev2)	800
Multifunctionals	O_arom_all+N_arom(lev2)	801
Multifunctionals	O_arom_all+S_arom(lev1)	802
Multifunctionals	O_arom_all+Phenol_all(lev2)	803
Multifunctionals	O_arom_all+Amide_all(lev2)	804
Multifunctionals	N_arom+Ester_all(lev2)	807
Multifunctionals	N_arom+Carbonyl_all(lev2)	810
Multifunctionals	N_arom+Carboxylic_acid_all(lev2)	813
Multifunctionals	N_arom_all+S_arom(lev1)	814
Multifunctionals	N_arom_all+Phenol_all(lev2)	815
Multifunctionals	N_arom+Amide_all(lev2)	819
Multifunctionals	S_arom_all+Ester_all(lev1)	820
Multifunctionals	S_arom_all+Carbonyl_all(lev2)	821
Multifunctionals	S_arom_all+Carboxylic_acid_all(lev2)	822
Multifunctionals	S_arom_all+Phenol_all(lev2)	823
Multifunctionals	S_arom_all+Amide_all(lev2)	824
Multifunctionals	Phenol_all+Ester_all(lev2)	829
Multifunctionals	Phenol_all+Carbonyl_all(lev2)	834
Multifunctionals	Phenol_all+Carboxylic_acid_all(lev2)	839
Multifunctionals	Phenol_all+Amide_all(lev2)	846
Multifunctionals	Carbonyl_all+Ester_all(lev2)	851
Multifunctionals	Carbonyl_all+Carboxylic_acid_all(lev2)	856
Multifunctionals	Carbonyl_all+Amide_all(lev2)	861
Multifunctionals	Carboxylic_acid_all+Amide_all(lev2)	866
Multifunctionals	Carboxylic_acid_all+Ester_all(lev2)	871
Multifunctionals	Ester_all+Amide_all(lev2)	876
OtherNitrogens	N-N	235
OtherNitrogens	N=N	236
OtherNitrogens	_-N=_	245
OtherNitrogens	_-O-N	305
OtherNitrogens	Cyanate	275
PeroxyNoAcids	Hydrogenperoxyd	156
PeroxyNoAcids	Hydrogenperoxy	152
PeroxyNoAcids	Peroxy	153
Sulfoxides&Sulfonyls	Sulfoxide	358
Sulfoxides&Sulfonyls	Sulfonyl	359
Thioethers	Thioether_chain_single	360
Thioethers	Thioether_ring_single	361
Thioethers	xThioether	362
Thioethers	Thioether_arom	363
Thiols	Thiol_aliph_single	353
Thiols	xThiol_aliph	354
Thiols	Thiol_on_arom_single	355
Thiols	xThiol_on_arom	356
Urea	Urea_chain_single	344
Urea	xUrea_chain	345
Urea	Urea_ring	346
