#CAS;Substance;Mainclass;Properties
75-07-0;ACETALDEHYDE;Carbonyl;C=O
60-35-5;ACETAMIDE;Amide;
75-05-8;ACETONITRILE;(Iso)Nitril;(Nitril_or_Isocynanid)
67-64-1;ACETONE;Carbonyl;C=O
107-15-3;ETHYLENEDIAMINE;Amine;
106-93-4;1,2-DIBROMOETHANE;HalogenatedHydrocarbon;Br+H+C(single_bonds)(lev1)
74-96-4;BROMOETHANE;HalogenatedHydrocarbon;Br+H+C(single_bonds)(lev1)
107-21-1;ETHYLENE_GLYCOL;Alcohol;OH
75-03-6;ETHYL_IODIDE;HalogenatedHydrocarbon;I+C(single_bonds)(lev1)
64-17-5;ETHANOL;Alcohol;OH
60-29-7;DIETHYL_ETHER;Ether;
75-21-8;ETHYLENE_OXIDE;Epoxy;
107-18-6;ALLYL_ALCOHOL;Alcohol;OH
64-18-6;FORMIC_ACID;Acids;Formic_acid
109-94-4;ETHYL_FORMATE;Ester;
62-53-3;ANILINE;Amine;
100-66-3;ANISOLE;Ether;
109-06-8;2-METHYLPYRIDINE;Aromatics;_-N-_in_arom
80-56-8;ALPHA-PINENE;Alkene;(chain_and/or_ring_and/or_conj/noconj)
141-78-6;ETHYL_ACETATE;Ester;
78-92-2;2-BUTANOL;Alcohol;OH
513-85-9;2,3-BUTANEDIOL;Alcohol;OH
100-51-6;BENZYL_ALCOHOL;Alcohol;OH
100-41-4;ETHYLBENZENE;Alkane;(chain_and/or_cyclic_and/or_aromatic)
108-86-1;BROMOBENZENE;Aromatics;Halogene_on_aromatics(F_or_Cl_or_Br_or_I_on_aromatic)
108-90-7;MONOCHLOROBENZENE;Aromatics;Halogene_on_aromatics(F_or_Cl_or_Br_or_I_on_aromatic)
106-46-7;P-DICHLOROBENZENE;Aromatics;Halogene_on_aromatics(F_or_Cl_or_Br_or_I_on_aromatic)
100-47-0;BENZONITRILE;(Iso)Nitril;(Nitril_or_Isocynanid)
98-95-3;NITROBENZENE;otherNitrogenCompounds;_-O-N
71-43-2;BENZENE;Aromatics;(from_Alkane_group)
74-90-8;HYDROGEN_CYANIDE;no_class_defined_in_mainclasses.txt;no_properties
127-91-3;BETA-PINENE;Alkene;(chain_and/or_ring_and/or_conj/noconj)
109-65-9;1-BROMOBUTANE;HalogenatedHydrocarbon;Br+H+C(single_bonds)(lev1)
7726-95-6;BROMINE;Halogen;(F_or_Cl_or_Br_or_I)
111-76-2;2-BUTOXYETHANOL;no_class_defined_in_mainclasses.txt;no_properties
71-36-3;1-BUTANOL;Alcohol;OH
78-93-3;METHYL_ETHYL_KETONE;Carbonyl;C=O
106-97-8;N-BUTANE;Alkane;(chain_and/or_cyclic_and/or_aromatic)
156-59-2;CIS-1,2-DICHLOROETHYLENE;no_class_defined_in_mainclasses.txt;no_properties
107-07-3;2-CHLOROETHANOL;no_class_defined_in_mainclasses.txt;no_properties
513-36-0;ISOBUTYL_CHLORIDE;HalogenatedHydrocarbon;Cl+H+C(single_bonds)(lev1)
109-69-3;N-BUTYL_CHLORIDE;HalogenatedHydrocarbon;Cl+H+C(single_bonds)(lev1)
