#DDB;#CAS;NAME_DDB;NAME_UD;disp. e/kB [K];Mainclass
1;75-07-0;Acetaldehyde;ACETALDEHYDE;74.03746667;Carbonyl
2;60-35-5;Acetamide;ACETAMIDE;86.65738333;Amide
3;75-05-8;Acetonitrile;ACETONITRILE;97.1445;(Iso)Nitril
4;67-64-1;Acetone;ACETONE;84.453675;Carbonyl
5;107-15-3;Ethylenediamine;ETHYLENEDIAMINE;103.38355;Amine
6;106-93-4;1,2-Dibromoethane;1,2-DIBROMOETHANE;;HalogenatedHydrocarbon
7;74-96-4;Ethyl bromide;BROMOETHANE;;HalogenatedHydrocarbon
8;107-21-1;1,2-Ethanediol;ETHYLENE_GLYCOL;76.88946667;Alcohol
9;75-03-6;Ethyl iodide;ETHYL_IODIDE;;HalogenatedHydrocarbon
11;64-17-5;Ethanol;ETHANOL;86.592675;Alcohol
12;60-29-7;Diethyl ether;DIETHYL_ETHER;111.68552;Ether
13;75-21-8;Ethylene oxide;ETHYLENE_OXIDE;109.0076667;Epoxy
14;107-18-6;2-Propen-1-ol;ALLYL_ALCOHOL;93.11968;Alcohol
15;64-18-6;Formic acid;FORMIC_ACID;55.34405;Acids
16;109-94-4;Formic acid ethyl ester;ETHYL_FORMATE;86.68662;Ester
17;62-53-3;Aniline;ANILINE;111.4024333;Amine
18;100-66-3;Methoxybenzene;ANISOLE;114.5138375;Ether
19;109-06-8;2-Methylpyridine;2-METHYLPYRIDINE;112.5220143;Aromatics
20;80-56-8;.alpha.-Pinene;ALPHA-PINENE;116.05484;Alkene
21;141-78-6;Ethyl acetate;ETHYL_ACETATE;91.52256667;Ester
22;78-92-2;2-Butanol;2-BUTANOL;96.29588333;Alcohol
23;513-85-9;2,3-Butanediol;2,3-BUTANEDIOL;86.592675;Alcohol
24;100-51-6;Benzyl alcohol;BENZYL_ALCOHOL;103.9398222;Alcohol
25;100-41-4;Ethylbenzene;ETHYLBENZENE;117.024325;Alkane
26;108-86-1;Bromobenzene;BROMOBENZENE;;Aromatics
27;108-90-7;Chlorobenzene;MONOCHLOROBENZENE;115.5776286;Aromatics
28;106-46-7;p-Dichlorobenzene;P-DICHLOROBENZENE;114.1621;Aromatics
29;100-47-0;Benzonitrile;BENZONITRILE;110.06515;(Iso)Nitril
30;98-95-3;Nitrobenzene;NITROBENZENE;77.57447778;otherNitrogenCompounds
31;71-43-2;Benzene;BENZENE;117.465;Aromatics
32;74-90-8;Hydrogen cyanide;HYDROGEN_CYANIDE;87.8656;no_class_defined_in_mainclasses.txt
33;513-86-0;3-Hydroxy-2-butanone;3-Hydroxy-2-butanone;81.21187143;Carbonyl
34;127-91-3;.beta.-Pinene;BETA-PINENE;116.05484;Alkene
36;109-65-9;Butyl bromide;1-BROMOBUTANE;;HalogenatedHydrocarbon
37;7726-95-6;Bromine;BROMINE;;Halogen
38;111-76-2;2-Butoxyethanol;2-BUTOXYETHANOL;100.5331444;no_class_defined_in_mainclasses.txt
39;71-36-3;1-Butanol;1-BUTANOL;96.29588333;Alcohol
40;78-93-3;2-Butanone;METHYL_ETHYL_KETONE;90.7034;Carbonyl
41;106-97-8;n-Butane;N-BUTANE;115.7023;Alkane
42;156-59-2;cis-1,2-Dichloroethylene;CIS-1,2-DICHLOROETHYLENE;110.8592;no_class_defined_in_mainclasses.txt
43;107-07-3;2-Chloroethanol;2-CHLOROETHANOL;90.12482;no_class_defined_in_mainclasses.txt
44;513-36-0;1-Chloro-2-methylpropane;ISOBUTYL_CHLORIDE;113.41252;HalogenatedHydrocarbon
45;96-29-7;Methyl ethyl ketoxime;Methyl_ethyl_ketoxime;94.88068571;Other
46;109-69-3;Butyl chloride;N-BUTYL_CHLORIDE;113.41252;HalogenatedHydrocarbon
47;67-66-3;Chloroform;CHLOROFORM;107.115625;HalogenatedHydrocarbon
49;108-39-4;3-Methylphenol;M-CRESOL;103.9398222;Aromatics
50;110-82-7;Cyclohexane;CYCLOHEXANE;115.7023;Alkane
51;287-92-3;Cyclopentane;CYCLOPENTANE;115.7023;Alkane
52;110-83-8;Cyclohexene;CYCLOHEXENE;116.2898667;Alkene
53;108-87-2;Methylcyclohexane;METHYLCYCLOHEXANE;115.7023;Alkane
54;583-60-8;2-Methylcyclohexanone;2-Methylcyclohexanone;100.0779875;Carbonyl
55;96-37-7;Methylcyclopentane;METHYLCYCLOPENTANE;115.7023;Alkane
56;111-44-4;Bis(2-chloroethyl) ether;DI(2-CHLOROETHYL)ETHER;109.5620571;no_class_defined_in_mainclasses.txt
57;142-96-1;Dibutyl ether;DI-N-BUTYL_ETHER;113.4707556;Ether
58;110-45-2;Isoamyl formate;Formic_acid_isopentyl_ester;97.5675;Acids
59;1321-74-0;Divinylbenzene;;;
60;124-18-5;Decane;N-DECANE;115.7023;Alkane
61;109-89-7;N,N-Diethylamine;DIETHYLAMINE;103.2450333;Amine
62;431-03-8;2,3-Butanedione;2,3-Butanedione;74.03746667;Carbonyl
63;121-69-7;N,N-Dimethylaniline;N,N-DIMETHYLANILINE;105.7427444;Amine
65;78-75-1;1,2-Dibromopropane;;;
67;75-34-3;1,1-Dichloroethane [R150a];1,1-DICHLOROETHANE;109.97785;HalogenatedHydrocarbon
68;107-06-2;1,2-Dichloroethane;1,2-DICHLOROETHANE;109.97785;HalogenatedHydrocarbon
69;156-60-5;trans-1,2-Dichloroethene;TRANS-1,2-DICHLOROETHYLENE;110.8592;no_class_defined_in_mainclasses.txt
70;75-09-2;Dichloromethane;DICHLOROMETHANE;108.0697;HalogenatedHydrocarbon
71;78-87-5;1,2-Dichloropropane;1,2-DICHLOROPROPANE;111.12274;HalogenatedHydrocarbon
72;68-12-2;N,N-Dimethylformamide (DMF);N,N-DIMETHYLFORMAMIDE;70.66096;Amide
73;109-87-5;Dimethoxymethane;METHYLAL;107.66874;Ether
74;108-08-7;2,4-Dimethylpentane;2,4-DIMETHYLPENTANE;115.7023;Alkane
75;123-91-1;1,4-Dioxane;1,4-DIOXANE;109.0076667;Ether
76;1003-78-7;2,4-Dimethylsulfolane;2,4-Dimethylsulfolane;;Alcohol
77;108-48-5;2,6-Dimethylpyridine;2,6-DIMETHYLPYRIDINE;112.91955;Aromatics
78;112-40-3;Dodecane;N-DODECANE;115.7023;Alkane
79;100-52-7;Benzaldehyde;BENZALDEHYDE;101.4000125;Carbonyl
80;123-86-4;Butyl acetate;N-BUTYL_ACETATE;97.5675;Ester
81;622-45-7;Cyclohexyl acetate;CYCLOHEXYL_ACETATE;101.19446;Ester
82;79-20-9;Methyl acetate;METHYL_ACETATE;86.68662;Ester
83;108-84-9;4-Methyl-2-amyl acetate;;;
84;64-19-7;Acetic acid;ACETIC_ACID;67.4157;Acids
85;98-01-1;Furfural;FURFURAL;95.98407143;no_class_defined_in_mainclasses.txt
86;142-84-7;Dipropylamine;DI-N-PROPYLAMINE;106.35935;Amine
87;10035-10-6;Hydrogen bromide;HYDROGEN_BROMIDE;;Acids
88;629-73-2;1-Hexadecene;1-HEXADECENE;115.9226375;Alkene
89;110-54-3;Hexane;N-HEXANE;115.7023;Alkane
90;7664-39-3;Hydrogen fluoride;HYDROGEN_FLUORIDE;52.9318;Acids
91;142-82-5;Heptane;N-HEPTANE;115.7023;Alkane
92;110-43-0;2-Heptanone;2-HEPTANONE;100.0779875;Carbonyl
93;302-01-2;Hydrazine;HYDRAZINE;99.2773;otherNitrogenCompounds
94;78-78-4;2-Methylbutane;ISOPENTANE;115.7023;Alkane
95;67-63-0;2-Propanol;ISOPROPANOL;92.4146;Alcohol
96;108-20-3;Diisopropyl ether;DIISOPROPYL_ETHER;112.8331714;Ether
97;540-84-1;2,2,4-Trimethylpentane;2,2,4-TRIMETHYLPENTANE;115.7023;Alkane
98;78-79-5;Isoprene;ISOPRENE;117.11246;Alkene
99;74-88-4;Methyl iodide;METHYL_IODIDE;;HalogenatedHydrocarbon
100;592-41-6;1-Hexene;1-HEXENE;116.2898667;Alkene
101;1114-92-7;2,3-Butanediol diacetate;2,3-BUTANEDIOLDIACETATE;91.52256667;Ester
103;108-18-9;Diisopropylamine;DIISOPROPYLAMINE;106.35935;Amine
105;111-26-2;Hexylamine;N-HEXYLAMINE;110.2273;Amine
106;616-39-7;Methyl diethyl amine;Methyl_diethyl_amine;99.00026667;Amine
107;12655-16-2;Methyldihydropyran <Isomer not specified>;Methyldihydropyran;113.3368;Other
108;90-12-0;1-Methylnaphthalene;1-METHYLNAPHTHALENE;117.3047545;Alkane
109;91-57-6;2-Methylnaphthalene;2-METHYLNAPHTHALENE;117.3047545;Alkane
110;67-56-1;Methanol;METHANOL;76.88946667;Alcohol
111;107-83-5;2-Methylpentane;2-METHYLPENTANE;115.7023;Alkane
112;96-14-0;3-Methylpentane;3-METHYLPENTANE;115.7023;Alkane
113;109-86-4;2-Methoxyethanol;2-METHOXYETHANOL;92.94856667;no_class_defined_in_mainclasses.txt
114;110-91-8;Morpholine;MORPHOLINE;102.1555143;no_class_defined_in_mainclasses.txt
115;123-42-2;Diacetone alcohol;DIACETONE_ALCOHOL;88.87641111;no_class_defined_in_mainclasses.txt
116;104-51-8;Butylbenzene;N-BUTYLBENZENE;116.75992;Alkane
117;108-10-1;4-Methyl-2-pentanone;METHYL_ISOBUTYL_KETONE;97.84594286;Carbonyl
118;108-99-6;3-Methylpyridine;3-METHYLPYRIDINE;112.5220143;Aromatics
119;108-89-4;4-Methylpyridine;4-METHYLPYRIDINE;112.5220143;Aromatics
120;78-83-1;2-Methyl-1-propanol;2-METHYL-1-PROPANOL;96.29588333;Alcohol
121;98-83-9;alpha-Methyl styrene;ALPHA-METHYLSTYRENE;117.2691444;Alkene
123;91-20-3;Naphthalene;NAPHTHALENE;117.465;Aromatics
124;54-11-5;L-Nicotine;L-Nicotine;105.4961167;Other
125;75-52-5;Nitromethane;NITROMETHANE;27.27065;otherNitrogenCompounds
126;108-03-2;1-Nitropropane;1-NITROPROPANE;56.74786667;otherNitrogenCompounds
127;143-08-8;1-Nonanol;1-NONANOL;105.1169818;Alcohol
128;111-65-9;Octane;N-OCTANE;115.7023;Alkane
129;111-66-0;1-Octene;1-OCTENE;116.142975;Alkene
130;95-48-7;2-Methylphenol;O-CRESOL;103.9398222;Aromatics
131;112-88-9;1-Octadecene;1-OCTADECENE;115.8981556;Alkene
132;106-44-5;4-Methylphenol;P-CRESOL;103.9398222;Aromatics
