sys;c1;c2;c1(DDB);c2(DDB);type;null_dsp
3;ACETAMIDE;BENZENE;Acetamide;Benzene;UCST;WAHR
4;ACETONITRILE;ALPHA-PINENE;Acetonitrile;.alpha.-Pinene;;
5;ACETONITRILE;N-BUTANE;Acetonitrile;n-Butane;;
6;ACETONITRILE;CYCLOHEXANE;Acetonitrile;Cyclohexane;;
7;ACETONITRILE;CYCLOPENTANE;Acetonitrile;Cyclopentane;;
8;ACETONITRILE;CYCLOHEXENE;Acetonitrile;Cyclohexene;;
9;ACETONITRILE;METHYLCYCLOHEXANE;Acetonitrile;Methylcyclohexane;;
10;ACETONITRILE;METHYLCYCLOPENTANE;Acetonitrile;Methylcyclopentane;;
11;ACETONITRILE;DI-N-BUTYL_ETHER;Acetonitrile;Dibutyl ether;;
12;ACETONITRILE;N-DECANE;Acetonitrile;Decane;;
13;ACETONITRILE;N-DODECANE;Acetonitrile;Dodecane;;
14;ACETONITRILE;N-HEXANE;Acetonitrile;Hexane;;
15;ACETONITRILE;N-HEPTANE;Acetonitrile;Heptane;;
16;ACETONITRILE;2,2,4-TRIMETHYLPENTANE;Acetonitrile;2,2,4-Trimethylpentane;;
17;ACETONITRILE;2-METHYLPENTANE;Acetonitrile;2-Methylpentane;;
18;ACETONITRILE;3-METHYLPENTANE;Acetonitrile;3-Methylpentane;;
19;ACETONITRILE;1-NONANOL;Acetonitrile;1-Nonanol;;
20;ACETONITRILE;N-OCTANE;Acetonitrile;Octane;;
21;ACETONITRILE;N-PENTANE;Acetonitrile;Pentane;;
22;ACETONITRILE;CARBON_DISULFIDE;Acetonitrile;Carbon disulfide;;
23;ACETONITRILE;N-TETRADECANE;Acetonitrile;Tetradecane;;
24;ACETONITRILE;TETRACHLOROETHYLENE;Acetonitrile;Tetrachloroethylene;;
25;ACETONITRILE;WATER;Acetonitrile;Water;;
26;ACETONITRILE;Tetrachlorosilane;Acetonitrile;Tetrachlorosilane;;
27;ACETONITRILE;GLYCEROL;Acetonitrile;Glycerol;;
28;ACETONITRILE;OLEIC_ACID;Acetonitrile;Oleic acid;;
29;ACETONITRILE;Hexadecanoic_acid_methyl_ester;Acetonitrile;Methyl palmitate;;
30;ACETONITRILE;1-NONENE;Acetonitrile;1-Nonene;;
31;ACETONITRILE;1-OCTANOL;Acetonitrile;1-Octanol;;
32;ACETONITRILE;1-DECANOL;Acetonitrile;1-Decanol;;
33;ACETONITRILE;1-DECENE;Acetonitrile;1-Decene;;
34;ACETONITRILE;2,3-DIMETHYLBUTANE;Acetonitrile;2,3-Dimethylbutane;;
35;ACETONITRILE;2,2-DIMETHYLBUTANE;Acetonitrile;2,2-Dimethylbutane;;
36;ACETONITRILE;CYCLOOCTANE;Acetonitrile;Cyclooctane;;
37;ACETONITRILE;N-TRIDECANE;Acetonitrile;Tridecane;;
38;ACETONITRILE;Perfluorooxacyclononane;Acetonitrile;Perfluorooxacyclononane;;
39;ACETONITRILE;N-NONANE;Acetonitrile;Nonane;;
40;ACETONITRILE;Perfluorohexane;Acetonitrile;Perfluorohexane;;
42;ACETONITRILE;1-UNDECANOL;Acetonitrile;1-Undecanol;;
43;ACETONITRILE;N-HEXADECANE;Acetonitrile;Hexadecane;;
44;ACETONITRILE;1-DODECANOL;Acetonitrile;1-Dodecanol;;
45;ACETONITRILE;2,4,4-TRIMETHYL-1-PENTENE;Acetonitrile;2,4,4-Trimethyl-1-pentene;;
46;ACETONITRILE;Butyl_isobutyl_ether;Acetonitrile;Butyl isobutyl ether;;
47;ACETONITRILE;METHYL_OLEATE;Acetonitrile;Methyl oleate;;
48;ACETONITRILE;N-UNDECANE;Acetonitrile;n-Undecane;;
49;ACETONITRILE;N-PENTADECANE;Acetonitrile;Pentadecane;;
51;ACETONITRILE;DI-N-PENTYL_ETHER;Acetonitrile;Dipentyl ether;;
53;ACETONITRILE;ETHANE;Acetonitrile;Ethane;;
54;ACETONITRILE;2-METHYLHEPTANE;Acetonitrile;2-Methylheptane;;
55;ACETONITRILE;2,4,4-TRIMETHYL-2-PENTENE;Acetonitrile;2,4,4-Trimethyl-2-pentene;;
56;ACETONITRILE;LINOLEIC_ACID;Acetonitrile;Linoleic acid;;
57;ACETONITRILE;ETHYL_N-HEXYL_ETHER;Acetonitrile;Ethyl hexyl ether;;
62;ACETONE;MONOCHLOROBENZENE;Acetone;Chlorobenzene;;
63;ACETONE;N-BUTANE;Acetone;n-Butane;;
64;ACETONE;CYCLOPENTANE;Acetone;Cyclopentane;;
65;ACETONE;N-DECANE;Acetone;Decane;;
66;ACETONE;2,4-DIMETHYLPENTANE;Acetone;2,4-Dimethylpentane;;
67;ACETONE;N-DODECANE;Acetone;Dodecane;;
68;ACETONE;N-HEXANE;Acetone;Hexane;;
69;ACETONE;N-HEPTANE;Acetone;Heptane;;
