cas1;name1;cas2;name2;T_K;P_kPa;phase;x1_L1;x1_L2;source
111-65-9;;307-34-6;;315.3;101.3;1;0.9491;-1.0;2005 lon sca 0
111-65-9;;307-34-6;;325.6;101.3;1;0.9305;-1.0;2005 lon sca 0
111-65-9;;307-34-6;;335.1;101.3;1;0.9005;-1.0;2005 lon sca 0
111-65-9;;307-34-6;;341.2;101.3;1;0.8722;-1.0;2005 lon sca 0
111-65-9;;307-34-6;;346.4;101.3;1;0.802;-1.0;2005 lon sca 0
111-65-9;;307-34-6;;348.9;101.3;1;0.699;-1.0;2005 lon sca 0
111-65-9;;307-34-6;;349.2;101.3;1;-1.0;0.602;2005 lon sca 0
111-65-9;;307-34-6;;348.2;101.3;1;-1.0;0.5093;2005 lon sca 0
111-65-9;;307-34-6;;344.6;101.3;1;-1.0;0.4099;2005 lon sca 0
111-65-9;;307-34-6;;337.4;101.3;1;-1.0;0.3058;2005 lon sca 0
111-65-9;;307-34-6;;328.9;101.3;1;-1.0;0.239;2005 lon sca 0
111-65-9;;307-34-6;;322.3;101.3;1;-1.0;0.2032;2005 lon sca 0
111-65-9;;307-34-6;;311.0;101.3;1;-1.0;0.1583;2005 lon sca 0
111-65-9;;307-34-6;;295.1;101.3;1;-1.0;0.101;2005 lon sca 0
111-65-9;;307-34-6;;334.24;101.0;1;0.9009;-1.0;2006 pra dia 0
111-65-9;;307-34-6;;345.48;101.0;1;0.8331;-1.0;2006 pra dia 0
111-65-9;;307-34-6;;349.16;101.0;1;0.7626;-1.0;2006 pra dia 0
111-65-9;;307-34-6;;350.52;101.0;1;0.6987;-1.0;2006 pra dia 0
111-65-9;;307-34-6;;350.44;101.0;1;-1.0;0.5974;2006 pra dia 0
111-65-9;;307-34-6;;349.7;101.0;1;-1.0;0.5016;2006 pra dia 0
111-65-9;;307-34-6;;346.09;101.0;1;-1.0;0.4036;2006 pra dia 0
111-65-9;;307-34-6;;336.01;101.0;1;-1.0;0.2755;2006 pra dia 0
111-65-9;;307-34-6;;327.71;101.0;1;-1.0;0.236;2006 pra dia 0
111-65-9;;307-34-6;;299.71;101.0;1;-1.0;0.1081;2006 pra dia 0
111-65-9;;307-34-6;;314.35;101.0;1;0.9497;-1.0;2010 mat kit 0
111-65-9;;307-34-6;;321.68;101.0;1;0.9365;-1.0;2010 mat kit 0
111-65-9;;307-34-6;;325.46;101.0;1;0.9276;-1.0;2010 mat kit 0
111-65-9;;307-34-6;;329.75;101.0;1;0.9162;-1.0;2010 mat kit 0
111-65-9;;307-34-6;;334.59;101.0;1;0.8998;-1.0;2010 mat kit 0
111-65-9;;307-34-6;;338.45;101.0;1;0.8812;-1.0;2010 mat kit 0
111-65-9;;307-34-6;;340.43;101.0;1;0.8673;-1.0;2010 mat kit 0
111-65-9;;307-34-6;;342.69;101.0;1;0.851;-1.0;2010 mat kit 0
111-65-9;;307-34-6;;344.65;101.0;1;0.8323;-1.0;2010 mat kit 0
111-65-9;;307-34-6;;345.72;101.0;1;0.814;-1.0;2010 mat kit 0
111-65-9;;307-34-6;;346.43;101.0;1;0.8026;-1.0;2010 mat kit 0
111-65-9;;307-34-6;;347.89;101.0;1;0.7779;-1.0;2010 mat kit 0
111-65-9;;307-34-6;;348.81;101.0;1;0.7444;-1.0;2010 mat kit 0
111-65-9;;307-34-6;;349.27;101.0;1;0.7104;0.601;2010 mat kit 0
111-65-9;;307-34-6;;349.36;101.0;1;0.696;-1.0;2010 mat kit 0
111-65-9;;307-34-6;;349.44;101.0;1;0.6664;0.6279;2010 mat kit 0
111-65-9;;307-34-6;;349.5;101.0;1;-1.0;0.6461;2010 mat kit 0
111-65-9;;307-34-6;;349.18;101.0;1;-1.0;0.5842;2010 mat kit 0
111-65-9;;307-34-6;;349.14;101.0;1;-1.0;0.5732;2010 mat kit 0
111-65-9;;307-34-6;;348.4;101.0;1;-1.0;0.5336;2010 mat kit 0
111-65-9;;307-34-6;;347.92;101.0;1;-1.0;0.5022;2010 mat kit 0
111-65-9;;307-34-6;;346.98;101.0;1;-1.0;0.4624;2010 mat kit 0
111-65-9;;307-34-6;;346.19;101.0;1;-1.0;0.4411;2010 mat kit 0
111-65-9;;307-34-6;;344.16;101.0;1;-1.0;0.4011;2010 mat kit 0
111-65-9;;307-34-6;;342.05;101.0;1;-1.0;0.3619;2010 mat kit 0
111-65-9;;307-34-6;;340.89;101.0;1;-1.0;0.3526;2010 mat kit 0
111-65-9;;307-34-6;;339.43;101.0;1;-1.0;0.3311;2010 mat kit 0
111-65-9;;307-34-6;;336.2;101.0;1;-1.0;0.3006;2010 mat kit 0
111-65-9;;307-34-6;;330.43;101.0;1;-1.0;0.2513;2010 mat kit 0
111-65-9;;307-34-6;;318.34;101.0;1;-1.0;0.1776;2010 mat kit 0
111-65-9;;307-34-6;;304.97;101.0;1;-1.0;0.1266;2010 mat kit 0
121-44-8;;7732-18-5;;291.88875;101.0;1;0.0956;-1.0;1898 rot & 0
121-44-8;;7732-18-5;;292.608318;101.0;1;0.1607;-1.0;1898 rot & 0
121-44-8;;7732-18-5;;293.607812;101.0;1;0.2805;-1.0;1898 rot & 0
121-44-8;;7732-18-5;;293.6378;101.0;1;0.4824;-1.0;1898 rot & 0
121-44-8;;7732-18-5;;291.858768;101.0;1;-1.0;0.05829;1898 rot & 0
121-44-8;;7732-18-5;;296.28674;101.0;1;-1.0;0.01619;1898 rot & 0
121-44-8;;7732-18-5;;303.903692;101.0;1;-1.0;0.01047;1898 rot & 0
121-44-8;;7732-18-5;;319.098209;101.0;1;-1.0;0.005626;1898 rot & 0
121-44-8;;7732-18-5;;342.324;101.0;1;-1.0;0.003069;1898 rot & 0
121-44-8;;7732-18-5;;291.246695464;101.325;1;0.13189;-1.0;1951 sem zor 0
121-44-8;;7732-18-5;;291.298324468;101.325;1;0.115123;-1.0;1951 sem zor 0
121-44-8;;7732-18-5;;291.309340854;101.325;1;0.058685;-1.0;1951 sem zor 0
121-44-8;;7732-18-5;;291.327862734;101.325;1;0.070521;-1.0;1951 sem zor 0
121-44-8;;7732-18-5;;291.359623666;101.325;1;0.101534;-1.0;1951 sem zor 0
121-44-8;;7732-18-5;;291.381025817;101.325;1;0.077644;-1.0;1951 sem zor 0
121-44-8;;7732-18-5;;291.381267672;101.325;1;0.09463;-1.0;1951 sem zor 0
121-44-8;;7732-18-5;;291.398241482;101.325;1;0.093753;-1.0;1951 sem zor 0
121-44-8;;7732-18-5;;291.439688599;101.325;1;0.084;-1.0;1951 sem zor 0
121-44-8;;7732-18-5;;291.440457137;101.325;1;0.090466;-1.0;1951 sem zor 0
121-44-8;;7732-18-5;;291.571105701;101.325;1;-1.0;0.044329;1951 sem zor 0
121-44-8;;7732-18-5;;291.94098464;101.325;1;-1.0;0.030301;1951 sem zor 0
121-44-8;;7732-18-5;;291.469002;101.325;1;0.0856;-1.0;1957 koh ric 0
121-44-8;;7732-18-5;;291.469002;101.325;1;0.0636;-1.0;1957 koh ric 0
121-44-8;;7732-18-5;;291.4700014;101.325;1;0.0977;-1.0;1957 koh ric 0
121-44-8;;7732-18-5;;291.4700014;101.325;1;0.0934;-1.0;1957 koh ric 0
121-44-8;;7732-18-5;;291.4729996;101.325;1;0.0936;-1.0;1957 koh ric 0
121-44-8;;7732-18-5;;291.4809948;101.325;1;0.0599;-1.0;1957 koh ric 0
121-44-8;;7732-18-5;;291.4849924;101.325;1;0.0715;-1.0;1957 koh ric 0
121-44-8;;7732-18-5;;291.4869912;101.325;1;0.1008;-1.0;1957 koh ric 0
121-44-8;;7732-18-5;;291.4969852;101.325;1;0.0771;-1.0;1957 koh ric 0
121-44-8;;7732-18-5;;291.4979846;101.325;1;0.0687;-1.0;1957 koh ric 0
121-44-8;;7732-18-5;;291.5009828;101.325;1;0.0765;-1.0;1957 koh ric 0
121-44-8;;7732-18-5;;291.508978;101.325;1;0.0557;-1.0;1957 koh ric 0
121-44-8;;7732-18-5;;291.528966;101.325;1;0.1179;0.0542;1957 koh ric 0
121-44-8;;7732-18-5;;291.53896;101.325;1;0.0816;-1.0;1957 koh ric 0
121-44-8;;7732-18-5;;291.53896;101.325;1;0.0781;-1.0;1957 koh ric 0
121-44-8;;7732-18-5;;291.5399594;101.325;1;0.0748;-1.0;1957 koh ric 0
121-44-8;;7732-18-5;;291.553951;101.325;1;0.0814;-1.0;1957 koh ric 0
121-44-8;;7732-18-5;;291.5649444;101.325;1;0.083;-1.0;1957 koh ric 0
121-44-8;;7732-18-5;;291.6608868;101.325;1;0.1371;-1.0;1957 koh ric 0
121-44-8;;7732-18-5;;291.73884;101.325;1;0.1502;-1.0;1957 koh ric 0
121-44-8;;7732-18-5;;292.728246;101.325;1;0.2486;-1.0;1957 koh ric 0
121-44-8;;7732-18-5;;294.157592;101.325;1;0.3773;-1.0;1957 koh ric 0
121-44-8;;7732-18-5;;295.067228;101.325;1;0.4603;-1.0;1957 koh ric 0
121-44-8;;7732-18-5;;291.918732;101.325;1;-1.0;0.0341;1957 koh ric 0
121-44-8;;7732-18-5;;292.748234;101.325;1;-1.0;0.0245;1957 koh ric 0
121-44-8;;7732-18-5;;295.222166;101.325;1;-1.0;0.0178;1957 koh ric 0
121-44-8;;7732-18-5;;301.004852;101.325;1;-1.0;0.0125;1957 koh ric 0
121-44-8;;7732-18-5;;291.668882;101.0;1;0.115444544542;0.0540578497511;1967 cam kar 0
121-44-8;;7732-18-5;;291.698864;101.0;1;0.120542321041;0.045445409162;1967 cam kar 0
