sys;c1;c2;T;x1;x1_approx;x1_L1;x1_L2;phase;ALDS
6;Acetonitrile;Cyclohexane;278.4492263;0.020287778;0.02672564;0.02672564;0.970220635;L1;27.56047747
6;Acetonitrile;Cyclohexane;291.24575;0.030870279;0.039289567;0.039289567;0.963876367;L1;24.11651476
6;Acetonitrile;Cyclohexane;293.14537;0.047992455;0.0413946;0.0413946;0.962838411;L1;14.78933757
6;Acetonitrile;Cyclohexane;294.15;0.0465;0.042507864;0.042507864;0.962289479;L1;8.976322946
6;Acetonitrile;Cyclohexane;295.104978;0.0396;0.043566106;0.043566106;0.961767678;L1;9.545035525
6;Acetonitrile;Cyclohexane;297.9944;0.044;0.047324208;0.047324208;0.959961135;L1;7.283231906
6;Acetonitrile;Cyclohexane;297.9944;0.044;0.047324208;0.047324208;0.959961135;L1;7.283231906
6;Acetonitrile;Cyclohexane;297.9944;0.044;0.047324208;0.047324208;0.959961135;L1;7.283231906
6;Acetonitrile;Cyclohexane;298.14437;0.044;0.047525186;0.047525186;0.959864945;L1;7.707015775
6;Acetonitrile;Cyclohexane;298.14437;0.044;0.047525186;0.047525186;0.959864945;L1;7.707015775
6;Acetonitrile;Cyclohexane;298.14437;0.044;0.047525186;0.047525186;0.959864945;L1;7.707015775
6;Acetonitrile;Cyclohexane;298.484302;0.040158243;0.047980735;0.047980735;0.959646916;L1;17.79718513
6;Acetonitrile;Cyclohexane;303.143055;0.080583938;0.054224027;0.054224027;0.95665883;L1;39.61752284
6;Acetonitrile;Cyclohexane;303.332998;0.055;0.054478574;0.054478574;0.956537002;L1;0.952570398
6;Acetonitrile;Cyclohexane;306.931918;0.059816799;0.059858856;0.059858856;0.953993233;L1;0.070283779
6;Acetonitrile;Cyclohexane;307.49175;0.059045933;0.060753444;0.060753444;0.953573177;L1;2.850810095
6;Acetonitrile;Cyclohexane;312.9901;0.0787;0.069539577;0.069539577;0.949447626;L1;12.37471076
6;Acetonitrile;Cyclohexane;313.140055;0.0787;0.069779199;0.069779199;0.949335111;L1;12.03071971
6;Acetonitrile;Cyclohexane;313.140055;0.095538177;0.069779199;0.069779199;0.949335111;L1;31.41899712
6;Acetonitrile;Cyclohexane;313.140055;0.0787;0.069779199;0.069779199;0.949335111;L1;12.03071971
6;Acetonitrile;Cyclohexane;313.310004;0.076;0.070050771;0.070050771;0.949207594;L1;8.151306818
6;Acetonitrile;Cyclohexane;318.138555;0.0935;0.079012616;0.079012616;0.945036735;L1;16.8353899
6;Acetonitrile;Cyclohexane;318.138555;0.0935;0.079012616;0.079012616;0.945036735;L1;16.8353899
6;Acetonitrile;Cyclohexane;318.138555;0.0935;0.079012616;0.079012616;0.945036735;L1;16.8353899
6;Acetonitrile;Cyclohexane;318.138555;0.0935;0.079012616;0.079012616;0.945036735;L1;16.8353899
6;Acetonitrile;Cyclohexane;322.497247;0.11;0.087218731;0.087218731;0.941220583;L1;23.20612512
6;Acetonitrile;Cyclohexane;322.9871;0.1184;0.088279615;0.088279615;0.940727395;L1;29.35595007
6;Acetonitrile;Cyclohexane;324.9505108;0.112260742;0.092589889;0.092589889;0.938723675;L1;19.26442758
6;Acetonitrile;Cyclohexane;329.3771824;0.133679505;0.102307757;0.102307757;0.934206124;L1;26.74596852
6;Acetonitrile;Cyclohexane;330.4849;0.155;0.104739528;0.104739528;0.933075665;L1;39.19485312
6;Acetonitrile;Cyclohexane;331.824632;0.163;0.10793499;0.10793499;0.931583559;L1;41.2221098
6;Acetonitrile;Cyclohexane;334.78404;0.168746819;0.115445774;0.115445774;0.928065587;L1;37.95985441
6;Acetonitrile;Cyclohexane;336.4357096;0.184518426;0.119637604;0.119637604;0.926102178;L1;43.32821235
6;Acetonitrile;Cyclohexane;339.9670032;0.218802588;0.128832672;0.128832672;0.921782463;L1;52.96554477
6;Acetonitrile;Cyclohexane;341.12;0.2283;0.132191625;0.132191625;0.920185301;L1;54.64079812
6;Acetonitrile;Cyclohexane;341.68249;0.233069362;0.133830291;0.133830291;0.919406125;L1;55.47635879
6;Acetonitrile;Cyclohexane;344.38168;0.265666513;0.14169367;0.14169367;0.915667136;L1;62.85743397
6;Acetonitrile;Cyclohexane;345.901224;0.287862986;0.14612046;0.14612046;0.913562223;L1;67.80532693
6;Acetonitrile;Cyclohexane;347.14;0.3504;0.149729308;0.149729308;0.911846238;L1;85.02463102
6;Acetonitrile;Cyclohexane;347.3337941;0.324727361;0.150306728;0.150306728;0.911570593;L1;77.03078839
6;Acetonitrile;Cyclohexane;347.98;0.3771;0.152455514;0.152455514;0.91052637;L1;90.56375635
6;Acetonitrile;Cyclohexane;348.1585466;0.352733381;0.153049223;0.153049223;0.910237852;L1;83.49528883
6;Acetonitrile;Cyclohexane;348.45;0.4316;0.154018374;0.154018374;0.909766884;L1;103.0427326
6;Acetonitrile;Cyclohexane;348.62;0.5119;0.154583664;0.154583664;0.909492176;L1;119.739383
6;Acetonitrile;Cyclohexane;348.8;0.4811;0.155182206;0.155182206;0.909201309;L1;113.1475199
6;Acetonitrile;Cyclohexane;349.1362532;0.395852652;0.156300327;0.156300327;0.908657948;L1;92.9262724
6;Acetonitrile;Cyclohexane;349.1492493;0.396243457;0.156343542;0.156343542;0.908636947;L1;92.99730359
6;Acetonitrile;Cyclohexane;349.150249;0.399881527;0.156346866;0.156346866;0.908635332;L1;93.90912814
6;Acetonitrile;Cyclohexane;349.2582166;0.411843971;0.156705884;0.156705884;0.908460864;L1;96.62738699
6;Acetonitrile;Cyclohexane;349.4981446;0.436955296;0.1575037;0.1575037;0.908073158;L1;102.0381939
6;Acetonitrile;Cyclohexane;349.520138;0.44102019;0.157576834;0.157576834;0.908037618;L1;102.9177484
6;Acetonitrile;Cyclohexane;349.560126;0.443718025;0.157709803;0.157709803;0.907973;L1;103.4432626
6;Acetonitrile;Cyclohexane;349.6321044;0.452964163;0.157949148;0.157949148;0.907856688;L1;105.3539878
6;Acetonitrile;Cyclohexane;349.7040828;0.46567242;0.158188493;0.158188493;0.907740376;L1;107.9695107
6;Acetonitrile;Cyclohexane;349.710081;0.468046084;0.158208439;0.158208439;0.907730684;L1;108.4653366
6;Acetonitrile;Cyclohexane;349.710081;0.471710322;0.158208439;0.158208439;0.907730684;L1;109.2451677
6;Acetonitrile;Cyclohexane;349.7120804;0.469821365;0.158215087;0.158215087;0.907727453;L1;108.8397129
6;Acetonitrile;Cyclohexane;349.7140798;0.467927581;0.158221736;0.158221736;0.907724222;L1;108.4316104
6;Acetonitrile;Cyclohexane;349.7160792;0.470057748;0.158228384;0.158228384;0.907720991;L1;108.8816097
6;Acetonitrile;Cyclohexane;349.720078;0.47218181;0.158241681;0.158241681;0.907714529;L1;109.324061
6;Acetonitrile;Cyclohexane;349.7210777;0.472652997;0.158245005;0.158245005;0.907712914;L1;109.4216999
6;Acetonitrile;Cyclohexane;349.7210777;0.473123884;0.158245005;0.158245005;0.907712914;L1;109.5212767
6;Acetonitrile;Cyclohexane;349.7340738;0.478984788;0.15828822;0.15828822;0.907691913;L1;110.7251288
6;Acetonitrile;Cyclohexane;349.7360732;0.477582411;0.158294869;0.158294869;0.907688682;L1;110.4277181
6;Acetonitrile;Cyclohexane;349.7430711;0.482827608;0.158318139;0.158318139;0.907677374;L1;111.5053128
6;Acetonitrile;Cyclohexane;349.750069;0.488496776;0.158341408;0.158341408;0.907666066;L1;112.6579358
6;Acetonitrile;Cyclohexane;349.7540678;0.492634083;0.158354705;0.158354705;0.907659604;L1;113.4929187
6;Acetonitrile;Cyclohexane;349.7580666;0.495036729;0.158368002;0.158368002;0.907653142;L1;113.9710508
6;Acetonitrile;Cyclohexane;349.7630651;0.501518505;0.158384623;0.158384623;0.907645065;L1;115.2614106
6;Acetonitrile;Cyclohexane;349.7650645;0.505807749;0.158391272;0.158391272;0.907641834;L1;116.108828
6;Acetonitrile;Cyclohexane;349.7660642;0.507606169;0.158394596;0.158394596;0.907640219;L1;116.4616526
6;Acetonitrile;Cyclohexane;349.7670639;0.511524664;0.15839792;0.15839792;0.907638603;L1;117.2285453
6;Acetonitrile;Cyclohexane;349.7680636;0.51619889;0.158401244;0.158401244;0.907636988;L1;118.1360801
6;Acetonitrile;Cyclohexane;349.7690633;0.520512168;0.158404569;0.158404569;0.907635373;L1;118.9660943
6;Acetonitrile;Cyclohexane;349.7690633;0.526551147;0.158404569;0.158404569;0.907635373;L1;120.1196151
6;Acetonitrile;Cyclohexane;276.4995109;0.949021372;0.971101692;0.02502484;0.971101692;L2;2.299987217
6;Acetonitrile;Cyclohexane;283.248025;0.943687373;0.967996117;0.031051373;0.967996117;L2;2.543313727
6;Acetonitrile;Cyclohexane;293.14537;0.946415869;0.962838411;0.0413946;0.962838411;L2;1.720352049
6;Acetonitrile;Cyclohexane;293.79524;0.931;0.962483321;0.042114742;0.962483321;L2;3.325745991
6;Acetonitrile;Cyclohexane;294.15;0.916;0.962289479;0.042507864;0.962289479;L2;4.929895496
6;Acetonitrile;Cyclohexane;295.204958;0.928;0.961713049;0.043676898;0.961713049;L2;3.568438704
6;Acetonitrile;Cyclohexane;297.9944;0.9399;0.959961135;0.047324208;0.959961135;L2;2.111931254
6;Acetonitrile;Cyclohexane;297.9944;0.9399;0.959961135;0.047324208;0.959961135;L2;2.111931254
6;Acetonitrile;Cyclohexane;297.9944;0.9399;0.959961135;0.047324208;0.959961135;L2;2.111931254
6;Acetonitrile;Cyclohexane;298.14437;0.9399;0.959864945;0.047525186;0.959864945;L2;2.101910604
6;Acetonitrile;Cyclohexane;298.14437;0.9399;0.959864945;0.047525186;0.959864945;L2;2.101910604
6;Acetonitrile;Cyclohexane;298.14437;0.9399;0.959864945;0.047525186;0.959864945;L2;2.101910604
6;Acetonitrile;Cyclohexane;298.404318;0.926;0.959698217;0.047873547;0.959698217;L2;3.574464296
6;Acetonitrile;Cyclohexane;298.74425;0.920513673;0.959480187;0.048329097;0.959480187;L2;4.145981161
6;Acetonitrile;Cyclohexane;300.483853;0.92;0.95836442;0.050660375;0.95836442;L2;4.085443245
6;Acetonitrile;Cyclohexane;303.143055;0.913828338;0.95665883;0.054224027;0.95665883;L2;4.580408845
6;Acetonitrile;Cyclohexane;305.832248;0.912;0.954818344;0.058101629;0.954818344;L2;4.588111622
6;Acetonitrile;Cyclohexane;310.130958;0.905;0.951592913;0.064970788;0.951592913;L2;5.020238706
6;Acetonitrile;Cyclohexane;310.220931;0.903;0.951525404;0.065114561;0.951525404;L2;5.234383165
6;Acetonitrile;Cyclohexane;312.9901;0.8961;0.949447626;0.069539577;0.949447626;L2;5.782835558
6;Acetonitrile;Cyclohexane;313.140055;0.8961;0.949335111;0.069779199;0.949335111;L2;5.770984278
