sys;c1;c2;x1;x1_calc;T;phase;ALDS;;AALDS;45.40472797
6;Acetonitrile;Cyclohexane;0.047992;0.047896859;293.145;L1;0.19844022;;;
6;Acetonitrile;Cyclohexane;0.0935;0.093017875;318.139;L1;0.516975731;;;
6;Acetonitrile;Cyclohexane;0.0935;0.093017875;318.139;L1;0.516975731;;;
6;Acetonitrile;Cyclohexane;0.0935;0.093017875;318.139;L1;0.516975731;;;
6;Acetonitrile;Cyclohexane;0.0935;0.093017875;318.139;L1;0.516975731;;;
6;Acetonitrile;Cyclohexane;0.9464159;0.957747905;293.145;L2;1.190248313;;;
6;Acetonitrile;Cyclohexane;0.9399;0.95422857;298.144;L2;1.512974732;;;
6;Acetonitrile;Cyclohexane;0.9399;0.95422857;298.144;L2;1.512974732;;;
6;Acetonitrile;Cyclohexane;0.9399;0.95422857;298.144;L2;1.512974732;;;
6;Acetonitrile;Cyclohexane;0.9399;0.954340982;297.994;L2;1.524754444;;;
6;Acetonitrile;Cyclohexane;0.9399;0.954340982;297.994;L2;1.524754444;;;
6;Acetonitrile;Cyclohexane;0.9399;0.954340982;297.994;L2;1.524754444;;;
6;Acetonitrile;Cyclohexane;0.9490214;0.967375987;276.5;L2;1.915588947;;;
6;Acetonitrile;Cyclohexane;0.9436874;0.963765159;283.248;L2;2.10526867;;;
6;Acetonitrile;Cyclohexane;0.112261;0.109648407;324.951;L1;2.354757065;;;
6;Acetonitrile;Cyclohexane;0.931;0.957335551;293.795;L2;2.789468072;;;
6;Acetonitrile;Cyclohexane;0.926;0.954033722;298.404;L2;2.982478419;;;
6;Acetonitrile;Cyclohexane;0.928;0.956431101;295.205;L2;3.017702109;;;
6;Acetonitrile;Cyclohexane;0.0787;0.081448223;312.99;L1;3.432436232;;;
6;Acetonitrile;Cyclohexane;0.92;0.952474939;300.484;L2;3.469012585;;;
6;Acetonitrile;Cyclohexane;0.9205137;0.953778921;298.744;L2;3.550002182;;;
6;Acetonitrile;Cyclohexane;0.0787;0.081772057;313.14;L1;3.829242836;;;
6;Acetonitrile;Cyclohexane;0.0787;0.081772057;313.14;L1;3.829242836;;;
6;Acetonitrile;Cyclohexane;0.912;0.948246074;305.832;L2;3.897405023;;;
6;Acetonitrile;Cyclohexane;0.9138283;0.950482244;303.143;L2;3.932678283;;;
6;Acetonitrile;Cyclohexane;0.9019181;0.941151585;313.74;L2;4.258049816;;;
6;Acetonitrile;Cyclohexane;0.905;0.944449667;310.131;L2;4.266745119;;;
6;Acetonitrile;Cyclohexane;0.916;0.957110343;294.15;L2;4.390232107;;;
