sys;c1;c2;x1;x1_calc;T;phase;ALDS;;AALDS;60.32378574
6;Acetonitrile;Cyclohexane;0.020288;0.026725436;278.449;L1;27.55861928;;;
6;Acetonitrile;Cyclohexane;0.03087;0.039289844;291.246;L1;24.11812246;;;
6;Acetonitrile;Cyclohexane;0.0396;0.043566131;295.105;L1;9.545091829;;;
6;Acetonitrile;Cyclohexane;0.040158;0.047980331;298.484;L1;17.79694827;;;
6;Acetonitrile;Cyclohexane;0.044;0.047323672;297.994;L1;7.282100151;;;
6;Acetonitrile;Cyclohexane;0.044;0.047323672;297.994;L1;7.282100151;;;
6;Acetonitrile;Cyclohexane;0.044;0.047323672;297.994;L1;7.282100151;;;
6;Acetonitrile;Cyclohexane;0.044;0.04752469;298.144;L1;7.705973155;;;
6;Acetonitrile;Cyclohexane;0.044;0.04752469;298.144;L1;7.705973155;;;
6;Acetonitrile;Cyclohexane;0.044;0.04752469;298.144;L1;7.705973155;;;
6;Acetonitrile;Cyclohexane;0.0465;0.042507864;294.15;L1;8.976321849;;;
6;Acetonitrile;Cyclohexane;0.047992;0.04139419;293.145;L1;14.78937975;;;
6;Acetonitrile;Cyclohexane;0.055;0.054478576;303.333;L1;0.952566177;;;
6;Acetonitrile;Cyclohexane;0.059046;0.060753843;307.492;L1;2.851353833;;;
6;Acetonitrile;Cyclohexane;0.059817;0.059858987;306.932;L1;0.070167797;;;
6;Acetonitrile;Cyclohexane;0.076;0.070050764;313.31;L1;8.151316107;;;
6;Acetonitrile;Cyclohexane;0.0787;0.069779111;313.14;L1;12.03084598;;;
6;Acetonitrile;Cyclohexane;0.0787;0.069779111;313.14;L1;12.03084598;;;
6;Acetonitrile;Cyclohexane;0.0787;0.069539417;312.99;L1;12.37494125;;;
6;Acetonitrile;Cyclohexane;0.080584;0.054223953;303.143;L1;39.61773706;;;
6;Acetonitrile;Cyclohexane;0.0935;0.079013454;318.139;L1;16.83432945;;;
6;Acetonitrile;Cyclohexane;0.0935;0.079013454;318.139;L1;16.83432945;;;
6;Acetonitrile;Cyclohexane;0.0935;0.079013454;318.139;L1;16.83432945;;;
6;Acetonitrile;Cyclohexane;0.0935;0.079013454;318.139;L1;16.83432945;;;
6;Acetonitrile;Cyclohexane;0.095538;0.069779111;313.14;L1;31.41893785;;;
6;Acetonitrile;Cyclohexane;0.11;0.087218266;322.497;L1;23.20665843;;;
