sys;c1;c2;T;x1;x1_approx;x1_L1;x1_L2;phase;ALDS
6;Acetonitrile;Cyclohexane;278.4492263;0.020287778;0.030710589;0.030710589;0.966332964;L1;41.45888779
6;Acetonitrile;Cyclohexane;291.24575;0.030870279;0.045436764;0.045436764;0.958952769;L1;38.65276807
6;Acetonitrile;Cyclohexane;293.14537;0.047992455;0.047897338;0.047897338;0.95774767;L1;0.198388229
6;Acetonitrile;Cyclohexane;294.15;0.0465;0.049198633;0.049198633;0.957110343;L1;5.641352597
6;Acetonitrile;Cyclohexane;295.104978;0.0396;0.050435615;0.050435615;0.956504515;L1;24.18684541
6;Acetonitrile;Cyclohexane;297.9944;0.044;0.054990912;0.054990912;0.954340682;L1;22.29783013
6;Acetonitrile;Cyclohexane;297.9944;0.044;0.054990912;0.054990912;0.954340682;L1;22.29783013
6;Acetonitrile;Cyclohexane;297.9944;0.044;0.054990912;0.054990912;0.954340682;L1;22.29783013
6;Acetonitrile;Cyclohexane;298.14437;0.044;0.055227543;0.055227543;0.954228293;L1;22.72721623
6;Acetonitrile;Cyclohexane;298.14437;0.044;0.055227543;0.055227543;0.954228293;L1;22.72721623
6;Acetonitrile;Cyclohexane;298.14437;0.044;0.055227543;0.055227543;0.954228293;L1;22.72721623
6;Acetonitrile;Cyclohexane;298.484302;0.040158243;0.055763906;0.055763906;0.953973542;L1;32.82990898
6;Acetonitrile;Cyclohexane;303.143055;0.080583938;0.063114744;0.063114744;0.950482203;L1;24.43449461
6;Acetonitrile;Cyclohexane;303.332998;0.055;0.063414447;0.063414447;0.950339857;L1;14.23585209
6;Acetonitrile;Cyclohexane;306.931918;0.059816799;0.069966783;0.069966783;0.947274747;L1;15.67340596
6;Acetonitrile;Cyclohexane;307.49175;0.059045933;0.071027792;0.071027792;0.946780364;L1;18.47555706
6;Acetonitrile;Cyclohexane;312.9901;0.0787;0.081448413;0.081448413;0.941924822;L1;3.432669509
6;Acetonitrile;Cyclohexane;313.140055;0.0787;0.081772181;0.081772181;0.941774981;L1;3.829394477
6;Acetonitrile;Cyclohexane;313.140055;0.095538177;0.081772181;0.081772181;0.941774981;L1;15.55888266
6;Acetonitrile;Cyclohexane;313.140055;0.0787;0.081772181;0.081772181;0.941774981;L1;3.829394477
6;Acetonitrile;Cyclohexane;313.310004;0.076;0.0821545;0.0821545;0.941598389;L1;7.786828054
6;Acetonitrile;Cyclohexane;318.138555;0.0935;0.093016874;0.093016874;0.9365811;L1;0.518051874
6;Acetonitrile;Cyclohexane;318.138555;0.0935;0.093016874;0.093016874;0.9365811;L1;0.518051874
6;Acetonitrile;Cyclohexane;318.138555;0.0935;0.093016874;0.093016874;0.9365811;L1;0.518051874
6;Acetonitrile;Cyclohexane;318.138555;0.0935;0.093016874;0.093016874;0.9365811;L1;0.518051874
6;Acetonitrile;Cyclohexane;322.497247;0.11;0.103162728;0.103162728;0.93189326;L1;6.417274077
6;Acetonitrile;Cyclohexane;322.9871;0.1184;0.104457491;0.104457491;0.931294359;L1;12.52885185
6;Acetonitrile;Cyclohexane;324.9505108;0.112260742;0.109647114;0.109647114;0.928893866;L1;2.355706474
6;Acetonitrile;Cyclohexane;329.3771824;0.133679505;0.121347547;0.121347547;0.923481758;L1;9.67864637
