sys;c1;c2;T;x1;x1_calc;x1_approx;phase;ALDS
6;Acetonitrile;Cyclohexane;278.4492263;0.020287778;0.026595638;0.02672564;L1;27.07285658
6;Acetonitrile;Cyclohexane;291.24575;0.030870279;0.039034661;0.039289567;L1;23.46561191
6;Acetonitrile;Cyclohexane;293.14537;0.047992455;0.041194483;0.0413946;L1;15.27394741
6;Acetonitrile;Cyclohexane;294.15;0.0465;0.042371932;0.042507864;L1;9.296615781
6;Acetonitrile;Cyclohexane;295.104978;0.0396;0.043514174;0.043566106;L1;9.425761169
6;Acetonitrile;Cyclohexane;297.9944;0.044;0.047109705;0.047324208;L1;6.828939179
6;Acetonitrile;Cyclohexane;297.9944;0.044;0.047109705;0.047324208;L1;6.828939179
6;Acetonitrile;Cyclohexane;297.9944;0.044;0.047109705;0.047324208;L1;6.828939179
6;Acetonitrile;Cyclohexane;298.14437;0.044;0.047302154;0.047525186;L1;7.236619744
6;Acetonitrile;Cyclohexane;298.14437;0.044;0.047302154;0.047525186;L1;7.236619744
6;Acetonitrile;Cyclohexane;298.14437;0.044;0.047302154;0.047525186;L1;7.236619744
6;Acetonitrile;Cyclohexane;298.484302;0.040158243;0.047740535;0.047980735;L1;17.29530972
6;Acetonitrile;Cyclohexane;303.143055;0.080583938;0.054058116;0.054224027;L1;39.92396584
6;Acetonitrile;Cyclohexane;303.332998;0.055;0.054328224;0.054478574;L1;1.228930516
6;Acetonitrile;Cyclohexane;306.931918;0.059816799;0.059638788;0.059858856;L1;0.298037274
6;Acetonitrile;Cyclohexane;307.49175;0.059045933;0.060498427;0.060753444;L1;2.430170651
6;Acetonitrile;Cyclohexane;312.9901;0.0787;0.069442563;0.069539577;L1;12.51431759
6;Acetonitrile;Cyclohexane;313.140055;0.0787;0.069699598;0.069779199;L1;12.14486042
6;Acetonitrile;Cyclohexane;313.140055;0.095538177;0.069699598;0.069779199;L1;31.53313755
6;Acetonitrile;Cyclohexane;313.140055;0.0787;0.069699598;0.069779199;L1;12.14486042
6;Acetonitrile;Cyclohexane;313.310004;0.076;0.069991768;0.070050771;L1;8.235570984
6;Acetonitrile;Cyclohexane;318.138555;0.0935;0.078685048;0.079012616;L1;17.25082918
6;Acetonitrile;Cyclohexane;318.138555;0.0935;0.078685048;0.079012616;L1;17.25082918
6;Acetonitrile;Cyclohexane;318.138555;0.0935;0.078685048;0.079012616;L1;17.25082918
6;Acetonitrile;Cyclohexane;318.138555;0.0935;0.078685048;0.079012616;L1;17.25082918
6;Acetonitrile;Cyclohexane;322.497247;0.11;0.087211432;0.087218731;L1;23.21449464
6;Acetonitrile;Cyclohexane;322.9871;0.1184;0.088211754;0.088279615;L1;29.43285022
6;Acetonitrile;Cyclohexane;324.9505108;0.112260742;0.092309272;0.092589889;L1;19.56796236
6;Acetonitrile;Cyclohexane;329.3771824;0.133679505;0.102081634;0.102307757;L1;26.96723523
6;Acetonitrile;Cyclohexane;330.4849;0.155;0.104646998;0.104739528;L1;39.28323527
6;Acetonitrile;Cyclohexane;331.824632;0.163;0.107815995;0.10793499;L1;41.33241764
6;Acetonitrile;Cyclohexane;334.78404;0.168746819;0.115080408;0.115445774;L1;38.27683964
6;Acetonitrile;Cyclohexane;336.4357096;0.184518426;0.119297681;0.119637604;L1;43.61274338
6;Acetonitrile;Cyclohexane;339.9670032;0.218802588;0.128722515;0.128832672;L1;53.0510858
6;Acetonitrile;Cyclohexane;341.12;0.2283;0.131924337;0.132191625;L1;54.84320014
